pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
429882068,qf_bsl_sat/dispose-1.cvc4.smt2,8317023,CVC4-070618,20439,def,303345,complete,0.011871,0.021075,0.0,unsat,unsat
429882032,qf_bsl_sat/dispose-2.cvc4.smt2,8316986,CVC4-070618,20439,def,303345,complete,0.015918,0.016064,113176.0,unsat,unsat
429882034,qf_bsl_sat/dispose-3.cvc4.smt2,8316988,CVC4-070618,20439,def,303345,complete,0.02574,0.0259639,113176.0,unsat,unsat
429882028,qf_bsl_sat/dispose-4.cvc4.smt2,8316982,CVC4-070618,20439,def,303345,complete,0.037251,0.0373459,113176.0,unsat,unsat
429882044,qf_bsl_sat/dispose-8.cvc4.smt2,8316999,CVC4-070618,20439,def,303345,complete,0.158027,0.158108,113176.0,unsat,unsat
429882030,qf_bsl_sat/dispose-iter-1.cvc4.smt2,8316984,CVC4-070618,20439,def,303345,complete,0.0113,0.011362,113176.0,unsat,unsat
429882037,qf_bsl_sat/dispose-iter-4.cvc4.smt2,8316991,CVC4-070618,20439,def,303345,complete,0.167709,0.167783,113176.0,unsat,unsat
429882040,qf_bsl_sat/dispose-iter-8.cvc4.smt2,8316995,CVC4-070618,20439,def,303345,complete,2.7498,2.75003,159880.0,unsat,unsat
429882035,qf_bsl_sat/rev-1-0.cvc4.smt2,8316989,CVC4-070618,20439,def,303345,complete,0.052052,0.0520909,113176.0,unsat,unsat
429882062,qf_bsl_sat/rev-2-0.cvc4.smt2,8317017,CVC4-070618,20439,def,303345,complete,0.034849,0.034948,113176.0,unsat,unsat
429882023,qf_bsl_sat/rev-3-0.cvc4.smt2,8316977,CVC4-070618,20439,def,303345,complete,0.057271,0.0573489,113176.0,unsat,unsat
429882053,qf_bsl_sat/rev-4-0.cvc4.smt2,8317008,CVC4-070618,20439,def,303345,complete,0.095076,0.095136,113176.0,unsat,unsat
429882038,qf_bsl_sat/rev-8-0.cvc4.smt2,8316993,CVC4-070618,20439,def,303345,complete,0.410379,0.410469,113176.0,unsat,unsat
429882065,qf_bsl_sat/rev-iter-1-0.cvc4.smt2,8317020,CVC4-070618,20439,def,303345,complete,0.052871,0.0529571,113176.0,unsat,unsat
429882029,qf_bsl_sat/rev-iter-2-0.cvc4.smt2,8316983,CVC4-070618,20439,def,303345,complete,0.045815,0.0458441,113176.0,unsat,unsat
429882058,qf_bsl_sat/rev-iter-3-0.cvc4.smt2,8317013,CVC4-070618,20439,def,303345,complete,0.080962,0.0830129,113176.0,unsat,unsat
429882041,qf_bsl_sat/rev-iter-4-0.cvc4.smt2,8316996,CVC4-070618,20439,def,303345,complete,0.199488,0.199558,113176.0,unsat,unsat
429882050,qf_bsl_sat/rev-iter-8-0.cvc4.smt2,8317005,CVC4-070618,20439,def,303345,complete,1.52062,1.52087,158428.0,unsat,unsat
429882051,qf_bsl_sat/test-dispose-2.cvc4.smt2,8317006,CVC4-070618,20439,def,303345,complete,0.01653,0.016612,113176.0,unsat,unsat
429882049,qf_bsl_sat/test-dispose-3.cvc4.smt2,8317004,CVC4-070618,20439,def,303345,complete,0.030717,0.032713,113176.0,unsat,unsat
429882055,qf_bsl_sat/test-dispose-4.cvc4.smt2,8317010,CVC4-070618,20439,def,303345,complete,0.045813,0.04585,113176.0,unsat,unsat
429882056,qf_bsl_sat/test-dispose-8.cvc4.smt2,8317011,CVC4-070618,20439,def,303345,complete,0.20899,0.210679,113176.0,unsat,unsat
429882052,qf_bsl_sat/test-dispose-iter-2.cvc4.smt2,8317007,CVC4-070618,20439,def,303345,complete,0.02629,0.039507,113176.0,unsat,unsat
429882048,qf_bsl_sat/test-dispose-iter-3.cvc4.smt2,8317003,CVC4-070618,20439,def,303345,complete,0.072161,0.07225,113176.0,unsat,unsat
429882054,qf_bsl_sat/test-dispose-iter-4.cvc4.smt2,8317009,CVC4-070618,20439,def,303345,complete,0.186596,0.186688,113176.0,unsat,unsat
429882057,qf_bsl_sat/test-dispose-iter-8.cvc4.smt2,8317012,CVC4-070618,20439,def,303345,complete,3.0557,3.05586,160156.0,unsat,unsat
429882066,qf_bsl_sat/test-rev-1-0.cvc4.smt2,8317021,CVC4-070618,20439,def,303345,complete,0.032492,0.03257,113176.0,unsat,unsat
429882027,qf_bsl_sat/test-rev-2-0.cvc4.smt2,8316981,CVC4-070618,20439,def,303345,complete,0.021646,0.0217361,113176.0,unsat,unsat
429882060,qf_bsl_sat/test-rev-3-0.cvc4.smt2,8317015,CVC4-070618,20439,def,303345,complete,0.03817,0.0382509,113176.0,unsat,unsat
429882043,qf_bsl_sat/test-rev-4-0.cvc4.smt2,8316998,CVC4-070618,20439,def,303345,complete,0.056979,0.0570121,113176.0,unsat,unsat
429882045,qf_bsl_sat/test-rev-8-0.cvc4.smt2,8317000,CVC4-070618,20439,def,303345,complete,0.258121,0.258222,113176.0,unsat,unsat
