pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430514966,qf_shid_entl/01.tst.smt2,8318666,slide-2018-v5,20628,SLD_input,304326,complete,0.309357,0.320086,113176.0,starexec-unknown,unsat
430514717,qf_shid_entl/02.tst.smt2,8318417,slide-2018-v5,20628,SLD_input,304326,complete,0.708651,0.699237,414288.0,starexec-unknown,unsat
430514777,qf_shid_entl/03.tst.smt2,8318477,slide-2018-v5,20628,SLD_input,304326,complete,0.363866,0.375048,113176.0,starexec-unknown,unsat
430514833,qf_shid_entl/04.tst.smt2,8318533,slide-2018-v5,20628,SLD_input,304326,complete,0.309903,0.303915,113176.0,unsat,unsat
430514764,qf_shid_entl/05.tst.smt2,8318464,slide-2018-v5,20628,SLD_input,304326,complete,0.35347,0.365306,113176.0,starexec-unknown,unsat
430514943,qf_shid_entl/06.tst.smt2,8318643,slide-2018-v5,20628,SLD_input,304326,complete,0.459684,0.459307,113176.0,unsat,unsat
430514889,qf_shid_entl/07.tst.smt2,8318589,slide-2018-v5,20628,SLD_input,304326,complete,0.293688,0.285957,113176.0,starexec-unknown,unsat
430514886,qf_shid_entl/08.tst.smt2,8318586,slide-2018-v5,20628,SLD_input,304326,complete,0.428067,0.420037,113176.0,starexec-unknown,unsat
430514945,qf_shid_entl/09.tst.smt2,8318645,slide-2018-v5,20628,SLD_input,304326,complete,0.505071,0.496414,113176.0,starexec-unknown,unsat
430514926,qf_shid_entl/10.tst.smt2,8318626,slide-2018-v5,20628,SLD_input,304326,complete,0.297808,0.293535,113176.0,unsat,unsat
430514972,qf_shid_entl/11.tst.smt2,8318672,slide-2018-v5,20628,SLD_input,304326,complete,0.29819,0.288846,113176.0,unsat,unsat
430514721,qf_shid_entl/12.tst.smt2,8318421,slide-2018-v5,20628,SLD_input,304326,complete,0.304621,0.310072,113176.0,unsat,unsat
430514789,qf_shid_entl/13.tst.smt2,8318489,slide-2018-v5,20628,SLD_input,304326,complete,0.316982,0.427011,113176.0,unsat,unsat
430514821,qf_shid_entl/14.tst.smt2,8318521,slide-2018-v5,20628,SLD_input,304326,complete,0.326444,0.323579,113176.0,unsat,unsat
430514751,qf_shid_entl/15.tst.smt2,8318451,slide-2018-v5,20628,SLD_input,304326,complete,1.10429,1.10842,414552.0,unsat,unsat
430514931,qf_shid_entl/16.tst.smt2,8318631,slide-2018-v5,20628,SLD_input,304326,complete,0.391729,0.432121,113176.0,unsat,unsat
430514875,qf_shid_entl/17.tst.smt2,8318575,slide-2018-v5,20628,SLD_input,304326,complete,0.529689,0.68832,414552.0,unsat,unsat
430514876,qf_shid_entl/18.tst.smt2,8318576,slide-2018-v5,20628,SLD_input,304326,complete,0.390831,0.403929,113176.0,unsat,unsat
430514929,qf_shid_entl/19.tst.smt2,8318629,slide-2018-v5,20628,SLD_input,304326,complete,0.290501,0.282949,113176.0,unsat,unsat
430514899,qf_shid_entl/20.tst.smt2,8318599,slide-2018-v5,20628,SLD_input,304326,complete,0.442622,0.433706,113176.0,starexec-unknown,unsat
430514988,qf_shid_entl/21.tst.smt2,8318688,slide-2018-v5,20628,SLD_input,304326,complete,0.290454,0.281093,113176.0,starexec-unknown,unsat
430514701,qf_shid_entl/22.tst.smt2,8318401,slide-2018-v5,20628,SLD_input,304326,complete,0.353987,0.343478,113176.0,starexec-unknown,unsat
430514975,qf_shid_entl/append_dll_slk-1.smt2,8318675,slide-2018-v5,20628,SLD_input,304326,complete,0.287294,0.278242,113176.0,starexec-unknown,unsat
430514968,qf_shid_entl/append_dll_slk-10.smt2,8318668,slide-2018-v5,20628,SLD_input,304326,complete,0.290915,0.282418,113176.0,starexec-unknown,unsat
430514851,qf_shid_entl/append_dll_slk-11.smt2,8318551,slide-2018-v5,20628,SLD_input,304326,complete,0.288974,0.281643,113176.0,starexec-unknown,unsat
430514724,qf_shid_entl/append_dll_slk-12.smt2,8318424,slide-2018-v5,20628,SLD_input,304326,complete,0.286054,0.280827,113176.0,starexec-unknown,unsat
430514782,qf_shid_entl/append_dll_slk-2.smt2,8318482,slide-2018-v5,20628,SLD_input,304326,complete,0.286676,0.28076,113176.0,starexec-unknown,unsat
430514741,qf_shid_entl/append_dll_slk-3.smt2,8318441,slide-2018-v5,20628,SLD_input,304326,complete,0.286128,0.279865,113176.0,starexec-unknown,unsat
430514894,qf_shid_entl/append_dll_slk-4.smt2,8318594,slide-2018-v5,20628,SLD_input,304326,complete,0.291247,0.283608,113176.0,starexec-unknown,unsat
430515004,qf_shid_entl/append_dll_slk-5.smt2,8318704,slide-2018-v5,20628,SLD_input,304326,complete,0.289805,0.283737,113176.0,starexec-unknown,unsat
430514808,qf_shid_entl/append_dll_slk-6.smt2,8318508,slide-2018-v5,20628,SLD_input,304326,complete,0.286797,0.28097,113176.0,starexec-unknown,unsat
430514766,qf_shid_entl/append_dll_slk-7.smt2,8318466,slide-2018-v5,20628,SLD_input,304326,complete,0.287529,0.319634,113176.0,starexec-unknown,unsat
430514902,qf_shid_entl/append_dll_slk-8.smt2,8318602,slide-2018-v5,20628,SLD_input,304326,complete,0.28839,0.282633,113176.0,starexec-unknown,unsat
430514935,qf_shid_entl/append_dll_slk-9.smt2,8318635,slide-2018-v5,20628,SLD_input,304326,complete,0.287493,0.281651,113176.0,starexec-unknown,unsat
430514971,qf_shid_entl/append_sll_cll_slk-1.smt2,8318671,slide-2018-v5,20628,SLD_input,304326,complete,0.28961,0.280554,113176.0,starexec-unknown,unsat
430514850,qf_shid_entl/append_sll_cll_slk-10.smt2,8318550,slide-2018-v5,20628,SLD_input,304326,complete,0.288301,0.279973,113176.0,starexec-unknown,unsat
430514964,qf_shid_entl/append_sll_cll_slk-11.smt2,8318664,slide-2018-v5,20628,SLD_input,304326,complete,0.285461,0.279536,113176.0,starexec-unknown,unsat
430514772,qf_shid_entl/append_sll_cll_slk-12.smt2,8318472,slide-2018-v5,20628,SLD_input,304326,complete,0.28592,0.280048,113176.0,starexec-unknown,unsat
430514733,qf_shid_entl/append_sll_cll_slk-13.smt2,8318433,slide-2018-v5,20628,SLD_input,304326,complete,0.287434,0.279513,113176.0,starexec-unknown,unsat
430514878,qf_shid_entl/append_sll_cll_slk-14.smt2,8318578,slide-2018-v5,20628,SLD_input,304326,complete,0.285056,0.278905,113176.0,starexec-unknown,unsat
430514991,qf_shid_entl/append_sll_cll_slk-15.smt2,8318691,slide-2018-v5,20628,SLD_input,304326,complete,0.290254,0.282764,113176.0,starexec-unknown,sat
430514796,qf_shid_entl/append_sll_cll_slk-16.smt2,8318496,slide-2018-v5,20628,SLD_input,304326,complete,0.287514,0.320588,113176.0,starexec-unknown,unsat
430514754,qf_shid_entl/append_sll_cll_slk-17.smt2,8318454,slide-2018-v5,20628,SLD_input,304326,complete,0.287384,0.279881,113176.0,starexec-unknown,unsat
430514907,qf_shid_entl/append_sll_cll_slk-18.smt2,8318607,slide-2018-v5,20628,SLD_input,304326,complete,0.287635,0.280237,113176.0,starexec-unknown,unsat
430514780,qf_shid_entl/append_sll_cll_slk-2.smt2,8318480,slide-2018-v5,20628,SLD_input,304326,complete,0.286869,0.280886,113176.0,starexec-unknown,unsat
430514735,qf_shid_entl/append_sll_cll_slk-3.smt2,8318435,slide-2018-v5,20628,SLD_input,304326,complete,0.285752,0.279846,113176.0,starexec-unknown,unsat
430514871,qf_shid_entl/append_sll_cll_slk-4.smt2,8318571,slide-2018-v5,20628,SLD_input,304326,complete,0.289588,0.281979,113176.0,starexec-unknown,unsat
430514986,qf_shid_entl/append_sll_cll_slk-5.smt2,8318686,slide-2018-v5,20628,SLD_input,304326,complete,0.284482,0.27865,113176.0,starexec-unknown,unsat
430514792,qf_shid_entl/append_sll_cll_slk-6.smt2,8318492,slide-2018-v5,20628,SLD_input,304326,complete,0.285768,0.278414,113176.0,starexec-unknown,sat
430514748,qf_shid_entl/append_sll_cll_slk-7.smt2,8318448,slide-2018-v5,20628,SLD_input,304326,complete,0.28726,0.279383,113176.0,starexec-unknown,unsat
430514911,qf_shid_entl/append_sll_cll_slk-8.smt2,8318611,slide-2018-v5,20628,SLD_input,304326,complete,0.286845,0.279677,113176.0,starexec-unknown,unsat
430514947,qf_shid_entl/append_sll_cll_slk-9.smt2,8318647,slide-2018-v5,20628,SLD_input,304326,complete,0.29082,0.313665,113176.0,starexec-unknown,unsat
430514747,qf_shid_entl/append_sll_ls_slk-1.smt2,8318447,slide-2018-v5,20628,SLD_input,304326,complete,0.286447,0.277831,113176.0,starexec-unknown,unsat
430514866,qf_shid_entl/append_sll_ls_slk-2.smt2,8318566,slide-2018-v5,20628,SLD_input,304326,complete,0.284841,0.278736,113176.0,starexec-unknown,unsat
430514982,qf_shid_entl/append_sll_ls_slk-3.smt2,8318682,slide-2018-v5,20628,SLD_input,304326,complete,0.28989,0.283895,113176.0,starexec-unknown,unsat
430514804,qf_shid_entl/append_sll_ls_slk-4.smt2,8318504,slide-2018-v5,20628,SLD_input,304326,complete,0.285417,0.278198,113176.0,starexec-unknown,unsat
430514763,qf_shid_entl/append_sll_ls_slk-5.smt2,8318463,slide-2018-v5,20628,SLD_input,304326,complete,0.286905,0.281012,113176.0,starexec-unknown,unsat
430514885,qf_shid_entl/append_sll_ls_slk-6.smt2,8318585,slide-2018-v5,20628,SLD_input,304326,complete,0.288326,0.280683,113176.0,starexec-unknown,unsat
430514999,qf_shid_entl/append_sll_ls_slk-7.smt2,8318699,slide-2018-v5,20628,SLD_input,304326,complete,0.28782,0.279968,113176.0,starexec-unknown,unsat
430514823,qf_shid_entl/append_sll_ls_slk-8.smt2,8318523,slide-2018-v5,20628,SLD_input,304326,complete,0.287289,0.279725,113176.0,starexec-unknown,unsat
430514718,qf_shid_entl/append_sll_slk-1.smt2,8318418,slide-2018-v5,20628,SLD_input,304326,complete,0.288787,0.279784,113176.0,starexec-unknown,unsat
430514917,qf_shid_entl/append_sll_slk-2.smt2,8318617,slide-2018-v5,20628,SLD_input,304326,complete,0.285916,0.280202,113176.0,starexec-unknown,unsat
430514952,qf_shid_entl/append_sll_slk-3.smt2,8318652,slide-2018-v5,20628,SLD_input,304326,complete,0.288493,0.282537,113176.0,starexec-unknown,unsat
430514820,qf_shid_entl/append_sll_slk-4.smt2,8318520,slide-2018-v5,20628,SLD_input,304326,complete,0.288888,0.281689,113176.0,starexec-unknown,unsat
430514696,qf_shid_entl/append_sll_slk-5.smt2,8318396,slide-2018-v5,20628,SLD_input,304326,complete,0.287245,0.281277,113176.0,starexec-unknown,unsat
