pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430512270,qf_shlid_entl/dll-vc01.smt2,8318278,COMSPEN,20429,default,303314,complete,0.005746,0.017303,0.0,starexec-unknown,unsat
430512228,qf_shlid_entl/dll-vc02.smt2,8318236,COMSPEN,20429,default,303314,complete,0.005693,0.00941494,0.0,starexec-unknown,unsat
430512252,qf_shlid_entl/dll-vc03.smt2,8318260,COMSPEN,20429,default,303314,complete,0.005664,0.00949489,0.0,starexec-unknown,unsat
430512276,qf_shlid_entl/dll-vc04.smt2,8318284,COMSPEN,20429,default,303314,complete,0.005625,0.00932996,0.0,starexec-unknown,sat
430512272,qf_shlid_entl/dll-vc05.smt2,8318280,COMSPEN,20429,default,303314,complete,0.005184,0.00907993,0.0,starexec-unknown,unsat
430512233,qf_shlid_entl/dll-vc06.smt2,8318241,COMSPEN,20429,default,303314,complete,0.00556,0.00893799,0.0,starexec-unknown,sat
430512257,qf_shlid_entl/dll-vc07.smt2,8318265,COMSPEN,20429,default,303314,complete,0.005613,0.00902689,0.0,starexec-unknown,unsat
430512281,qf_shlid_entl/dll-vc08.smt2,8318289,COMSPEN,20429,default,303314,complete,0.005384,0.00891008,0.0,starexec-unknown,sat
430512263,qf_shlid_entl/dll-vc09.smt2,8318271,COMSPEN,20429,default,303314,complete,0.00571,0.0161639,0.0,starexec-unknown,unsat
430512279,qf_shlid_entl/dll-vc10.smt2,8318287,COMSPEN,20429,default,303314,complete,0.005523,0.0103551,0.0,starexec-unknown,sat
430512260,qf_shlid_entl/dll-vc11.smt2,8318268,COMSPEN,20429,default,303314,complete,0.005613,0.00872094,0.0,starexec-unknown,unsat
430512235,qf_shlid_entl/dll-vc12.smt2,8318243,COMSPEN,20429,default,303314,complete,0.00628,0.00951303,0.0,starexec-unknown,sat
430512243,qf_shlid_entl/dll-vc13.smt2,8318251,COMSPEN,20429,default,303314,complete,0.00554,0.00958489,0.0,starexec-unknown,sat
430512285,qf_shlid_entl/dll-vc14.smt2,8318293,COMSPEN,20429,default,303314,complete,0.005722,0.00942301,0.0,starexec-unknown,sat
430512267,qf_shlid_entl/dll-vc15.smt2,8318275,COMSPEN,20429,default,303314,complete,0.005411,0.010716,0.0,starexec-unknown,unsat
430512240,qf_shlid_entl/dll-vc16.smt2,8318248,COMSPEN,20429,default,303314,complete,0.005862,0.00947309,0.0,starexec-unknown,sat
430512249,qf_shlid_entl/dll-vc17.smt2,8318257,COMSPEN,20429,default,303314,complete,0.005646,0.00879092,0.0,starexec-unknown,unsat
430512261,qf_shlid_entl/lss-vc01.smt2,8318269,COMSPEN,20429,default,303314,complete,0.005716,0.00882098,0.0,starexec-unknown,unsat
430512237,qf_shlid_entl/lss-vc02.smt2,8318245,COMSPEN,20429,default,303314,complete,0.005457,0.00866504,0.0,starexec-unknown,unsat
430512246,qf_shlid_entl/lss-vc03.smt2,8318254,COMSPEN,20429,default,303314,complete,0.005343,0.00823099,0.0,starexec-unknown,unsat
430512238,qf_shlid_entl/nll-vc01.smt2,8318246,COMSPEN,20429,default,303314,complete,0.005453,0.00904889,0.0,starexec-unknown,unsat
430512265,qf_shlid_entl/nll-vc02.smt2,8318273,COMSPEN,20429,default,303314,complete,0.00533,0.00967902,0.0,starexec-unknown,unsat
430512282,qf_shlid_entl/nll-vc03.smt2,8318290,COMSPEN,20429,default,303314,complete,0.005246,0.00890206,0.0,starexec-unknown,unsat
430512250,qf_shlid_entl/nll-vc04.smt2,8318258,COMSPEN,20429,default,303314,complete,0.005725,0.00864211,0.0,starexec-unknown,unsat
430512242,qf_shlid_entl/nll-vc05.smt2,8318250,COMSPEN,20429,default,303314,complete,0.005639,0.00908802,0.0,starexec-unknown,unsat
430512269,qf_shlid_entl/nll-vc06.smt2,8318277,COMSPEN,20429,default,303314,complete,0.005386,0.00994989,0.0,starexec-unknown,sat
430512286,qf_shlid_entl/nll-vc07.smt2,8318294,COMSPEN,20429,default,303314,complete,0.005351,0.00840692,0.0,starexec-unknown,unsat
430512254,qf_shlid_entl/nll-vc08.smt2,8318262,COMSPEN,20429,default,303314,complete,0.005532,0.00949995,0.0,starexec-unknown,unsat
430512230,qf_shlid_entl/nll-vc09.smt2,8318238,COMSPEN,20429,default,303314,complete,0.005622,0.00871205,0.0,starexec-unknown,unsat
430512255,qf_shlid_entl/nll-vc10.smt2,8318263,COMSPEN,20429,default,303314,complete,0.005348,0.00844192,0.0,starexec-unknown,unsat
430512231,qf_shlid_entl/nll-vc11.smt2,8318239,COMSPEN,20429,default,303314,complete,0.005567,0.0111401,0.0,starexec-unknown,unsat
430512271,qf_shlid_entl/nll-vc12.smt2,8318279,COMSPEN,20429,default,303314,complete,0.005681,0.0289371,0.0,starexec-unknown,unsat
430512275,qf_shlid_entl/nll-vc13.smt2,8318283,COMSPEN,20429,default,303314,complete,0.005302,0.00828901,0.0,starexec-unknown,sat
430512258,qf_shlid_entl/nll-vc14.smt2,8318266,COMSPEN,20429,default,303314,complete,0.005326,0.00828912,0.0,starexec-unknown,sat
430512234,qf_shlid_entl/nll-vc15.smt2,8318242,COMSPEN,20429,default,303314,complete,0.005288,0.00896694,0.0,starexec-unknown,sat
430512273,qf_shlid_entl/nll-vc16.smt2,8318281,COMSPEN,20429,default,303314,complete,0.005299,0.00843009,0.0,starexec-unknown,sat
430512278,qf_shlid_entl/nll-vc17.smt2,8318286,COMSPEN,20429,default,303314,complete,0.005583,0.00914597,0.0,starexec-unknown,sat
430512244,qf_shlid_entl/nll-vc18.smt2,8318252,COMSPEN,20429,default,303314,complete,0.005695,0.00917393,0.0,starexec-unknown,sat
430512236,qf_shlid_entl/nll-vc19.smt2,8318244,COMSPEN,20429,default,303314,complete,0.005556,0.00947703,0.0,starexec-unknown,sat
430512247,qf_shlid_entl/skl2-vc01.smt2,8318255,COMSPEN,20429,default,303314,complete,0.005302,0.012114,0.0,starexec-unknown,unsat
430512283,qf_shlid_entl/skl2-vc02.smt2,8318291,COMSPEN,20429,default,303314,complete,0.005799,0.00929692,0.0,starexec-unknown,unsat
430512264,qf_shlid_entl/skl2-vc03.smt2,8318272,COMSPEN,20429,default,303314,complete,0.005259,0.01011,0.0,starexec-unknown,unsat
430512241,qf_shlid_entl/skl2-vc04.smt2,8318249,COMSPEN,20429,default,303314,complete,0.005575,0.00971788,0.0,starexec-unknown,unsat
430512251,qf_shlid_entl/skl2-vc05.smt2,8318259,COMSPEN,20429,default,303314,complete,0.005494,0.00904502,0.0,starexec-unknown,sat
430512287,qf_shlid_entl/skl2-vc06.smt2,8318295,COMSPEN,20429,default,303314,complete,0.005271,0.00902511,0.0,starexec-unknown,sat
430512268,qf_shlid_entl/skl2-vc07.smt2,8318276,COMSPEN,20429,default,303314,complete,0.005601,0.00937698,0.0,starexec-unknown,sat
430512245,qf_shlid_entl/skl3-vc01.smt2,8318253,COMSPEN,20429,default,303314,complete,0.005257,0.00875801,0.0,starexec-unknown,unsat
