pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430494331,qf_shls_entl/bolognesa-10-e01.tptp.smt2,8317378,Cyclist-SL,1136,default,1487,timeout (wallclock),599.961,600.019,155068.0,starexec-unknown,sat
430494322,qf_shls_entl/bolognesa-10-e02.tptp.smt2,8317369,Cyclist-SL,1136,default,1487,timeout (wallclock),599.956,600.047,155068.0,starexec-unknown,unsat
430494312,qf_shls_entl/bolognesa-10-e03.tptp.smt2,8317359,Cyclist-SL,1136,default,1487,timeout (cpu),600.01,600.088,154668.0,starexec-unknown,unsat
430494294,qf_shls_entl/bolognesa-10-e04.tptp.smt2,8317341,Cyclist-SL,1136,default,1487,timeout (wallclock),600.008,600.059,155068.0,starexec-unknown,sat
430494289,qf_shls_entl/bolognesa-10-e05.tptp.smt2,8317336,Cyclist-SL,1136,default,1487,timeout (cpu),600.01,600.064,154668.0,starexec-unknown,sat
430494280,qf_shls_entl/bolognesa-10-e06.tptp.smt2,8317327,Cyclist-SL,1136,default,1487,timeout (wallclock),600.03,600.089,154668.0,starexec-unknown,sat
430494269,qf_shls_entl/bolognesa-10-e07.tptp.smt2,8317316,Cyclist-SL,1136,default,1487,timeout (cpu),600.01,600.051,154668.0,starexec-unknown,sat
430494390,qf_shls_entl/bolognesa-10-e08.tptp.smt2,8317437,Cyclist-SL,1136,default,1487,timeout (cpu),600.02,600.014,154668.0,starexec-unknown,sat
430494398,qf_shls_entl/bolognesa-10-e09.tptp.smt2,8317445,Cyclist-SL,1136,default,1487,timeout (wallclock),600.001,600.012,155068.0,starexec-unknown,sat
430494215,qf_shls_entl/bolognesa-10-e10.tptp.smt2,8317262,Cyclist-SL,1136,default,1487,timeout (wallclock),600.005,600.05,154668.0,starexec-unknown,unsat
430494204,qf_shls_entl/bolognesa-11-e01.tptp.smt2,8317251,Cyclist-SL,1136,default,1487,timeout (cpu),600.01,599.998,155068.0,starexec-unknown,unsat
430494234,qf_shls_entl/bolognesa-11-e02.tptp.smt2,8317281,Cyclist-SL,1136,default,1487,timeout (wallclock),599.974,600.049,154668.0,starexec-unknown,unsat
430494223,qf_shls_entl/bolognesa-11-e03.tptp.smt2,8317270,Cyclist-SL,1136,default,1487,timeout (wallclock),599.989,600.01,155068.0,starexec-unknown,unsat
430494242,qf_shls_entl/bolognesa-11-e04.tptp.smt2,8317289,Cyclist-SL,1136,default,1487,timeout (wallclock),599.982,600.042,155068.0,starexec-unknown,unsat
430494237,qf_shls_entl/bolognesa-11-e05.tptp.smt2,8317284,Cyclist-SL,1136,default,1487,timeout (wallclock),600.002,600.045,155068.0,starexec-unknown,sat
430494262,qf_shls_entl/bolognesa-11-e06.tptp.smt2,8317309,Cyclist-SL,1136,default,1487,timeout (wallclock),599.995,600.029,155068.0,starexec-unknown,sat
430494251,qf_shls_entl/bolognesa-11-e07.tptp.smt2,8317298,Cyclist-SL,1136,default,1487,timeout (wallclock),600.006,600.069,154668.0,starexec-unknown,unsat
430494112,qf_shls_entl/bolognesa-11-e08.tptp.smt2,8317159,Cyclist-SL,1136,default,1487,timeout (cpu),600.04,600.106,154668.0,starexec-unknown,unsat
430494122,qf_shls_entl/bolognesa-11-e09.tptp.smt2,8317169,Cyclist-SL,1136,default,1487,timeout (cpu),600.02,600.054,154668.0,starexec-unknown,unsat
430494304,qf_shls_entl/bolognesa-11-e10.tptp.smt2,8317351,Cyclist-SL,1136,default,1487,timeout (cpu),600.04,600.084,155068.0,starexec-unknown,sat
430494346,qf_shls_entl/bolognesa-12-e01.tptp.smt2,8317393,Cyclist-SL,1136,default,1487,timeout (cpu),600.07,600.062,154668.0,starexec-unknown,unsat
430494368,qf_shls_entl/bolognesa-12-e02.tptp.smt2,8317415,Cyclist-SL,1136,default,1487,timeout (wallclock),599.958,600.015,155068.0,starexec-unknown,sat
430494360,qf_shls_entl/bolognesa-12-e03.tptp.smt2,8317407,Cyclist-SL,1136,default,1487,timeout (wallclock),599.997,600.023,164724.0,starexec-unknown,sat
430494379,qf_shls_entl/bolognesa-12-e04.tptp.smt2,8317426,Cyclist-SL,1136,default,1487,timeout (wallclock),599.87,600.016,155068.0,starexec-unknown,sat
430494370,qf_shls_entl/bolognesa-12-e05.tptp.smt2,8317417,Cyclist-SL,1136,default,1487,timeout (wallclock),599.958,600.036,154668.0,starexec-unknown,unsat
