pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430495834,qf_shls_entl/bolognesa-10-e01.tptp.smt2,8317378,Songbird v2,20617,songbird.sh,304292,complete,0.183479,0.285658,113176.0,sat,sat
430495825,qf_shls_entl/bolognesa-10-e02.tptp.smt2,8317369,Songbird v2,20617,songbird.sh,304292,complete,1.84,1.89376,191808.0,unsat,unsat
430495815,qf_shls_entl/bolognesa-10-e03.tptp.smt2,8317359,Songbird v2,20617,songbird.sh,304292,complete,5.36,5.40034,241252.0,unsat,unsat
430495797,qf_shls_entl/bolognesa-10-e04.tptp.smt2,8317341,Songbird v2,20617,songbird.sh,304292,complete,0.12044,0.177672,113176.0,sat,sat
430495792,qf_shls_entl/bolognesa-10-e05.tptp.smt2,8317336,Songbird v2,20617,songbird.sh,304292,complete,0.105348,0.150284,113176.0,sat,sat
430495783,qf_shls_entl/bolognesa-10-e06.tptp.smt2,8317327,Songbird v2,20617,songbird.sh,304292,complete,0.067441,0.103817,113176.0,sat,sat
430495772,qf_shls_entl/bolognesa-10-e07.tptp.smt2,8317316,Songbird v2,20617,songbird.sh,304292,complete,0.140085,0.222014,113176.0,sat,sat
430495893,qf_shls_entl/bolognesa-10-e08.tptp.smt2,8317437,Songbird v2,20617,songbird.sh,304292,complete,0.087466,0.163324,113176.0,sat,sat
430495901,qf_shls_entl/bolognesa-10-e09.tptp.smt2,8317445,Songbird v2,20617,songbird.sh,304292,complete,0.155818,0.25297,113176.0,sat,sat
430495718,qf_shls_entl/bolognesa-10-e10.tptp.smt2,8317262,Songbird v2,20617,songbird.sh,304292,complete,5.32,5.29773,252028.0,unsat,unsat
430495707,qf_shls_entl/bolognesa-11-e01.tptp.smt2,8317251,Songbird v2,20617,songbird.sh,304292,complete,5.28,5.29923,241236.0,unsat,unsat
430495737,qf_shls_entl/bolognesa-11-e02.tptp.smt2,8317281,Songbird v2,20617,songbird.sh,304292,complete,5.29,5.32199,231804.0,unsat,unsat
430495726,qf_shls_entl/bolognesa-11-e03.tptp.smt2,8317270,Songbird v2,20617,songbird.sh,304292,complete,5.46,5.45621,252044.0,unsat,unsat
430495745,qf_shls_entl/bolognesa-11-e04.tptp.smt2,8317289,Songbird v2,20617,songbird.sh,304292,complete,4.69,4.68265,252008.0,unsat,unsat
430495740,qf_shls_entl/bolognesa-11-e05.tptp.smt2,8317284,Songbird v2,20617,songbird.sh,304292,complete,0.100311,0.171255,113176.0,sat,sat
430495765,qf_shls_entl/bolognesa-11-e06.tptp.smt2,8317309,Songbird v2,20617,songbird.sh,304292,complete,0.149593,0.214734,113176.0,sat,sat
430495754,qf_shls_entl/bolognesa-11-e07.tptp.smt2,8317298,Songbird v2,20617,songbird.sh,304292,complete,3.64,3.62521,216008.0,unsat,unsat
430495615,qf_shls_entl/bolognesa-11-e08.tptp.smt2,8317159,Songbird v2,20617,songbird.sh,304292,complete,5.34,5.31752,223308.0,unsat,unsat
430495625,qf_shls_entl/bolognesa-11-e09.tptp.smt2,8317169,Songbird v2,20617,songbird.sh,304292,complete,2.94,2.95666,209796.0,unsat,unsat
430495807,qf_shls_entl/bolognesa-11-e10.tptp.smt2,8317351,Songbird v2,20617,songbird.sh,304292,complete,0.160309,0.237825,113176.0,sat,sat
430495849,qf_shls_entl/bolognesa-12-e01.tptp.smt2,8317393,Songbird v2,20617,songbird.sh,304292,complete,5.58,5.57426,252024.0,unsat,unsat
430495871,qf_shls_entl/bolognesa-12-e02.tptp.smt2,8317415,Songbird v2,20617,songbird.sh,304292,complete,0.16324,0.251911,113176.0,sat,sat
430495863,qf_shls_entl/bolognesa-12-e03.tptp.smt2,8317407,Songbird v2,20617,songbird.sh,304292,complete,0.206242,0.25742,113176.0,sat,sat
430495882,qf_shls_entl/bolognesa-12-e04.tptp.smt2,8317426,Songbird v2,20617,songbird.sh,304292,complete,0.177174,0.286178,113176.0,sat,sat
430495873,qf_shls_entl/bolognesa-12-e05.tptp.smt2,8317417,Songbird v2,20617,songbird.sh,304292,complete,3.46,3.48162,216028.0,unsat,unsat
430495904,qf_shls_entl/bolognesa-12-e06.tptp.smt2,8317448,Songbird v2,20617,songbird.sh,304292,complete,2.46,2.51062,195508.0,unsat,unsat
430495895,qf_shls_entl/bolognesa-12-e07.tptp.smt2,8317439,Songbird v2,20617,songbird.sh,304292,complete,0.116992,0.178487,113176.0,sat,sat
430495774,qf_shls_entl/bolognesa-12-e08.tptp.smt2,8317318,Songbird v2,20617,songbird.sh,304292,complete,5.63,5.64036,231684.0,unsat,unsat
430495784,qf_shls_entl/bolognesa-12-e09.tptp.smt2,8317328,Songbird v2,20617,songbird.sh,304292,complete,6.25,6.25221,225488.0,unsat,unsat
430495658,qf_shls_entl/bolognesa-12-e10.tptp.smt2,8317202,Songbird v2,20617,songbird.sh,304292,complete,5.4,5.38569,231776.0,unsat,unsat
430495687,qf_shls_entl/bolognesa-13-e01.tptp.smt2,8317231,Songbird v2,20617,songbird.sh,304292,complete,5.83,5.7934,241148.0,unsat,unsat
430495673,qf_shls_entl/bolognesa-13-e02.tptp.smt2,8317217,Songbird v2,20617,songbird.sh,304292,complete,0.238764,0.385689,113176.0,sat,sat
430495662,qf_shls_entl/bolognesa-13-e03.tptp.smt2,8317206,Songbird v2,20617,songbird.sh,304292,complete,5.68,5.688,231804.0,unsat,unsat
430495644,qf_shls_entl/bolognesa-13-e04.tptp.smt2,8317188,Songbird v2,20617,songbird.sh,304292,complete,0.172932,0.275163,113176.0,sat,sat
430495637,qf_shls_entl/bolognesa-13-e05.tptp.smt2,8317181,Songbird v2,20617,songbird.sh,304292,complete,0.203323,0.319045,113176.0,sat,sat
430495630,qf_shls_entl/bolognesa-13-e06.tptp.smt2,8317174,Songbird v2,20617,songbird.sh,304292,complete,0.168175,0.257401,113176.0,sat,sat
430495617,qf_shls_entl/bolognesa-13-e07.tptp.smt2,8317161,Songbird v2,20617,songbird.sh,304292,complete,5.55,5.5977,252024.0,unsat,unsat
430495756,qf_shls_entl/bolognesa-13-e08.tptp.smt2,8317300,Songbird v2,20617,songbird.sh,304292,complete,5.47,5.50703,223328.0,unsat,unsat
430495766,qf_shls_entl/bolognesa-13-e09.tptp.smt2,8317310,Songbird v2,20617,songbird.sh,304292,complete,0.14111,0.240056,113176.0,sat,sat
430495859,qf_shls_entl/bolognesa-13-e10.tptp.smt2,8317403,Songbird v2,20617,songbird.sh,304292,complete,0.223376,0.26681,113176.0,sat,sat
430495721,qf_shls_entl/bolognesa-14-e01.tptp.smt2,8317265,Songbird v2,20617,songbird.sh,304292,complete,6.35,6.3339,218348.0,unsat,unsat
430495713,qf_shls_entl/bolognesa-14-e02.tptp.smt2,8317257,Songbird v2,20617,songbird.sh,304292,complete,5.53,5.57178,223296.0,unsat,unsat
430495698,qf_shls_entl/bolognesa-14-e03.tptp.smt2,8317242,Songbird v2,20617,songbird.sh,304292,complete,5.83,5.84823,252144.0,unsat,unsat
430495767,qf_shls_entl/bolognesa-14-e04.tptp.smt2,8317311,Songbird v2,20617,songbird.sh,304292,complete,5.73,5.74633,241252.0,unsat,unsat
430495760,qf_shls_entl/bolognesa-14-e05.tptp.smt2,8317304,Songbird v2,20617,songbird.sh,304292,complete,0.284868,0.400449,113176.0,sat,sat
430495752,qf_shls_entl/bolognesa-14-e06.tptp.smt2,8317296,Songbird v2,20617,songbird.sh,304292,complete,5.98,5.9875,252152.0,unsat,unsat
430495742,qf_shls_entl/bolognesa-14-e07.tptp.smt2,8317286,Songbird v2,20617,songbird.sh,304292,complete,5.82,5.81883,241248.0,unsat,unsat
430495642,qf_shls_entl/bolognesa-14-e08.tptp.smt2,8317186,Songbird v2,20617,songbird.sh,304292,complete,7.15,7.17779,266792.0,unsat,unsat
430495648,qf_shls_entl/bolognesa-14-e09.tptp.smt2,8317192,Songbird v2,20617,songbird.sh,304292,complete,6.03,6.04922,252120.0,unsat,unsat
430495831,qf_shls_entl/bolognesa-14-e10.tptp.smt2,8317375,Songbird v2,20617,songbird.sh,304292,complete,0.337748,0.449748,113176.0,sat,sat
430495812,qf_shls_entl/bolognesa-15-e01.tptp.smt2,8317356,Songbird v2,20617,songbird.sh,304292,complete,5.95,5.9311,241240.0,unsat,unsat
430495838,qf_shls_entl/bolognesa-15-e02.tptp.smt2,8317382,Songbird v2,20617,songbird.sh,304292,complete,9.58484,5.9107,264644.0,unsat,unsat
430495827,qf_shls_entl/bolognesa-15-e03.tptp.smt2,8317371,Songbird v2,20617,songbird.sh,304292,complete,0.264495,0.366732,113176.0,sat,sat
430495786,qf_shls_entl/bolognesa-15-e04.tptp.smt2,8317330,Songbird v2,20617,songbird.sh,304292,complete,15.71,15.7228,270360.0,unsat,unsat
430495778,qf_shls_entl/bolognesa-15-e05.tptp.smt2,8317322,Songbird v2,20617,songbird.sh,304292,complete,6.85,6.82492,266784.0,unsat,unsat
430495805,qf_shls_entl/bolognesa-15-e06.tptp.smt2,8317349,Songbird v2,20617,songbird.sh,304292,complete,9.96,9.93924,282472.0,unsat,unsat
430495793,qf_shls_entl/bolognesa-15-e07.tptp.smt2,8317337,Songbird v2,20617,songbird.sh,304292,complete,6.78,6.78932,243412.0,unsat,unsat
430495880,qf_shls_entl/bolognesa-15-e08.tptp.smt2,8317424,Songbird v2,20617,songbird.sh,304292,complete,0.278468,0.362719,113176.0,sat,sat
430495885,qf_shls_entl/bolognesa-15-e09.tptp.smt2,8317429,Songbird v2,20617,songbird.sh,304292,complete,0.83,0.861332,195272.0,sat,sat
