pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430234843,shid_entl/dll-entails-node-dll-rev.smt2,8318827,Songbird v2,20617,songbird.sh,304292,complete,0.017158,0.0385769,113176.0,sat,sat
430234889,shid_entl/dll-entails-node-node-dll.smt2,8318873,Songbird v2,20617,songbird.sh,304292,complete,0.01599,0.0529081,113176.0,sat,sat
430234853,shid_entl/dll-spaghetti-existential.smt2,8318837,Songbird v2,20617,songbird.sh,304292,complete,190.48,190.355,1986460.0,starexec-unknown,unsat
430234848,shid_entl/dll2-spaghetti-existential.smt2,8318832,Songbird v2,20617,songbird.sh,304292,complete,35.07,35.1283,559568.0,unsat,unsat
430234829,shid_entl/dllnull_entails_dll.sb.smt2,8318813,Songbird v2,20617,songbird.sh,304292,complete,0.041457,0.0771579,113176.0,unsat,unsat
430234855,shid_entl/dllnull_entails_dllrev.sb.smt2,8318839,Songbird v2,20617,songbird.sh,304292,complete,0.073728,0.125294,113176.0,unsat,unsat
430234835,shid_entl/dll_concat_dllrev_get_last.sb.smt2,8318819,Songbird v2,20617,songbird.sh,304292,complete,1.09,1.11145,181884.0,unsat,unsat
430234877,shid_entl/dll_entails_ls_node.sb.smt2,8318861,Songbird v2,20617,songbird.sh,304292,complete,0.048564,0.090093,113176.0,unsat,unsat
430234872,shid_entl/dll_entails_node_lsrev.sb.smt2,8318856,Songbird v2,20617,songbird.sh,304292,complete,0.085645,0.13637,113176.0,unsat,unsat
430234860,shid_entl/eolseg_03.sb.smt2,8318844,Songbird v2,20617,songbird.sh,304292,complete,3.32,3.33339,200144.0,unsat,unsat
430234884,shid_entl/eolseg_04.sb.smt2,8318868,Songbird v2,20617,songbird.sh,304292,complete,2.01,2.0871,188756.0,unsat,unsat
430234885,shid_entl/eolseg_08.sb.smt2,8318869,Songbird v2,20617,songbird.sh,304292,complete,0.77,0.847685,178652.0,unsat,unsat
430234862,shid_entl/eolseg_10.sb.smt2,8318846,Songbird v2,20617,songbird.sh,304292,complete,47.52,47.1531,621060.0,unsat,unsat
430234893,shid_entl/eolseg_11.sb.smt2,8318877,Songbird v2,20617,songbird.sh,304292,complete,2.63,2.62797,195552.0,unsat,unsat
430234844,shid_entl/eolseg_13.sb.smt2,8318828,Songbird v2,20617,songbird.sh,304292,complete,0.69,0.77127,178708.0,unsat,unsat
430234863,shid_entl/eolseg_14.sb.smt2,8318847,Songbird v2,20617,songbird.sh,304292,complete,0.273987,0.479912,113176.0,unsat,unsat
430234851,shid_entl/eolseg_16.sb.smt2,8318835,Songbird v2,20617,songbird.sh,304292,complete,1.09,1.11114,186424.0,unsat,unsat
430234892,shid_entl/ls2_entail_ls_02.sb.smt2,8318876,Songbird v2,20617,songbird.sh,304292,complete,5.43,5.46165,223404.0,unsat,unsat
430234861,shid_entl/ls2_entail_ls_03.sb.smt2,8318845,Songbird v2,20617,songbird.sh,304292,complete,5.27,5.27508,241704.0,unsat,unsat
430234852,shid_entl/ls2_entail_ls_05.sb.smt2,8318836,Songbird v2,20617,songbird.sh,304292,complete,5.75,5.73717,232172.0,unsat,unsat
430234894,shid_entl/ls2_entail_ls_06.sb.smt2,8318878,Songbird v2,20617,songbird.sh,304292,complete,5.28636,5.3265,252632.0,unsat,unsat
430234842,shid_entl/lsevenodd_05.sb.smt2,8318826,Songbird v2,20617,songbird.sh,304292,complete,0.94,1.02204,181528.0,unsat,unsat
430234865,shid_entl/lsevenodd_06.sb.smt2,8318849,Songbird v2,20617,songbird.sh,304292,complete,0.99,1.04012,181524.0,unsat,unsat
430234897,shid_entl/lsevenodd_07.sb.smt2,8318881,Songbird v2,20617,songbird.sh,304292,complete,0.96,0.975882,181864.0,unsat,unsat
430234850,shid_entl/lsevenodd_08.sb.smt2,8318834,Songbird v2,20617,songbird.sh,304292,complete,1.01,1.02462,181872.0,unsat,unsat
430234832,shid_entl/lsevenodd_10.sb.smt2,8318816,Songbird v2,20617,songbird.sh,304292,complete,0.368793,0.562016,113176.0,unsat,unsat
430234891,shid_entl/lsevenodd_12.sb.smt2,8318875,Songbird v2,20617,songbird.sh,304292,complete,0.58,0.610491,176012.0,unsat,unsat
430234881,shid_entl/lsevenodd_13.sb.smt2,8318865,Songbird v2,20617,songbird.sh,304292,complete,0.53,0.57,176008.0,unsat,unsat
430234879,shid_entl/lsevenodd_17.sb.smt2,8318863,Songbird v2,20617,songbird.sh,304292,complete,0.82,0.850397,180092.0,unsat,unsat
430234833,shid_entl/lsevenodd_18.sb.smt2,8318817,Songbird v2,20617,songbird.sh,304292,complete,0.87,0.891558,180084.0,unsat,unsat
430234856,shid_entl/lsevenodd_19.sb.smt2,8318840,Songbird v2,20617,songbird.sh,304292,complete,0.82,0.836797,180096.0,unsat,unsat
430234895,shid_entl/lsevenodd_20.sb.smt2,8318879,Songbird v2,20617,songbird.sh,304292,complete,0.97,1.05072,181524.0,unsat,unsat
430234867,shid_entl/lsevenodd_ls2_03.sb.smt2,8318851,Songbird v2,20617,songbird.sh,304292,complete,0.323148,0.510109,113176.0,unsat,unsat
430234840,shid_entl/lsevenodd_ls2_04.sb.smt2,8318824,Songbird v2,20617,songbird.sh,304292,complete,0.303509,0.472793,113176.0,unsat,unsat
430234866,shid_entl/lsevenodd_ls2_07.sb.smt2,8318850,Songbird v2,20617,songbird.sh,304292,complete,1.22,1.31765,189076.0,unsat,unsat
