benchmark,Harrsh-22687,SLEEK-20564,SLSAT-22694,Songbird-20617,s2s.0.3.3-22440,VBS
qf_shid_sat/abduced00.defs.smt2,2.17697,0.255629,0.016647,0.025381,0.016538,s2s.0.3.3
qf_shid_sat/abduced01.defs.smt2,2.17337,0.268098,0.016005,0.027753,0.016724,SLSAT
qf_shid_sat/abduced02.defs.smt2,2.17892,0.274755,0.015655,0.023247,0.015847,SLSAT
qf_shid_sat/abduced03.defs.smt2,2.2355,0.304846,0.016146,0.030026,0.01757,SLSAT
qf_shid_sat/abduced04.defs.smt2,2.18327,0.300017,0.015661,0.028551,0.017054,SLSAT
qf_shid_sat/abduced05.defs.smt2,2.23639,0.411944,0.016544,0.035668,0.018101,SLSAT
qf_shid_sat/abduced06.defs.smt2,2.23863,0.375554,0.016991,0.031705,0.018034,SLSAT
qf_shid_sat/abduced07.defs.smt2,2.22584,0.314115,0.016146,0.032013,0.018905,SLSAT
qf_shid_sat/abduced08.defs.smt2,2.20999,0.336262,0.018279,0.030658,0.018618,SLSAT
qf_shid_sat/abduced09.defs.smt2,2.22528,0.318268,0.020187,0.031886,0.018079,s2s.0.3.3
qf_shid_sat/abduced10.defs.smt2,2.25846,0.363906,0.017105,0.033949,0.017903,SLSAT
qf_shid_sat/abduced11.defs.smt2,2.2171,0.336586,0.016086,0.030932,0.020536,SLSAT
qf_shid_sat/abduced12.defs.smt2,2.22927,0.334835,0.019014,0.032686,0.018255,s2s.0.3.3
qf_shid_sat/abduced13.defs.smt2,2.24431,0.377749,0.018551,0.030756,0.01777,s2s.0.3.3
qf_shid_sat/abduced14.defs.smt2,2.1987,0.310297,0.017498,0.030678,0.017805,SLSAT
qf_shid_sat/abduced15.defs.smt2,2.21601,0.227426,0.016664,0.031479,0.017725,SLSAT
qf_shid_sat/abduced16.defs.smt2,2.19828,0.221705,0.015841,0.030324,0.01753,SLSAT
qf_shid_sat/abduced17.defs.smt2,2.17675,0.25433,0.016962,0.028521,0.017512,SLSAT
qf_shid_sat/abduced18.defs.smt2,2.21402,0.290632,0.016472,0.0288,0.017059,SLSAT
qf_shid_sat/abduced19.defs.smt2,2.21269,0.230519,0.017613,0.029968,0.017219,s2s.0.3.3
qf_shid_sat/atll-01.smt2,1.99074,0.137183,0.01394,0.024796,0.011948,s2s.0.3.3
qf_shid_sat/atll-02.smt2,2.04454,none,0.013266,none,0.012324,s2s.0.3.3
qf_shid_sat/atll-03.smt2,2.02099,none,0.013037,0.020684,0.011357,s2s.0.3.3
qf_shid_sat/dll-01.smt2,2.01562,none,0.012723,10.18,0.012528,s2s.0.3.3
qf_shid_sat/dll-02.smt2,2.12042,none,0.012936,14.67,0.012487,s2s.0.3.3
qf_shid_sat/dll-03.smt2,2.39311,0.11986,0.013132,0.036631,0.013164,SLSAT
qf_shid_sat/dll-04.smt2,2.97035,none,0.020052,none,0.018289,s2s.0.3.3
qf_shid_sat/dll-05.smt2,2.58301,0.139154,0.01336,none,0.012857,s2s.0.3.3
qf_shid_sat/dll-06.smt2,7.25229,none,1.17808,none,1.86072,SLSAT
qf_shid_sat/dltree-01.smt2,1.94125,0.06218,0.01236,0.027499,0.011776,s2s.0.3.3
qf_shid_sat/inconsistent-ls-of-ls.defs.smt2,2.03968,0.067163,0.014503,10.61,0.01213,s2s.0.3.3
qf_shid_sat/lasso-01.smt2,1.94132,0.076714,0.014322,10.53,0.012534,s2s.0.3.3
qf_shid_sat/lasso-02.smt2,1.98156,0.077529,0.012636,0.011993,0.011567,s2s.0.3.3
qf_shid_sat/lasso-03.smt2,1.98117,0.084959,0.012982,0.013885,0.011774,s2s.0.3.3
qf_shid_sat/lasso-04.smt2,2.04803,0.187502,0.015123,0.018358,0.012997,s2s.0.3.3
qf_shid_sat/lasso-05.smt2,2.03915,0.081391,0.012857,30.8,0.012285,s2s.0.3.3
