pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
433160077,qf_shidlia_entl/dll_len_entails_lspre_len_num-2.sb.smt2,8318718,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.54155,1.07187,3068920.0,starexec-unknown,unsat
433160078,qf_shidlia_entl/sls_join_2_unk_upper_bnd.sb.smt2,8318719,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.51913,1.04781,3066960.0,starexec-unknown,unsat
433160079,qf_shidlia_entl/ls-entl-06.smt2,8318720,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.53985,1.07008,3068736.0,starexec-unknown,sat
433160080,qf_shidlia_entl/dll-entl-07.smt2,8318721,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.56358,1.09115,3068944.0,starexec-unknown,unsat
433160081,qf_shidlia_entl/ls-entl-02.smt2,8318722,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.52643,1.05713,3068956.0,starexec-unknown,sat
433160082,qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len_num-2.sb.smt2,8318723,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.52918,1.15893,3069048.0,starexec-unknown,unsat
433160083,qf_shidlia_entl/dll-entl-03.smt2,8318724,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.68837,1.17999,3069004.0,starexec-unknown,unsat
433160084,qf_shidlia_entl/ls_append_node.sb.smt2,8318725,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.56756,1.09153,3068924.0,starexec-unknown,unsat
433160085,qf_shidlia_entl/sls_join_4_no_cond.sb.smt2,8318726,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.56553,1.07812,3068944.0,starexec-unknown,unsat
433160086,qf_shidlia_entl/dll_len_entails_ls_len_num-1.sb.smt2,8318727,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.54137,1.07475,3066972.0,starexec-unknown,unsat
433160087,qf_shidlia_entl/dll_len_append_tail_entails_dllnull_num-1.sb.smt2,8318728,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.59207,1.09782,3068920.0,starexec-unknown,unsat
433160088,qf_shidlia_entl/dll_len_entails_lsrev_len.sb.smt2,8318729,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.67602,1.16443,3068984.0,starexec-unknown,unsat
433160089,qf_shidlia_entl/dll-entl-13.smt2,8318730,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.70365,1.18263,3069176.0,starexec-unknown,sat
433160090,qf_shidlia_entl/dll_len_append_tail_entails_dllnull.sb.smt2,8318731,Harrsh 2019.9,22687,harrsh_default,326665,complete,1.59138,1.09862,3069340.0,starexec-unknown,unsat
