benchmark,ASTERIX-20618,COMSPEN2019-22337,Cyclist-SL,Harrsh-22687,SLEEK-20564,SPEN19.2-22729,Songbird-20617,s2s.0.3.3-22440,slide-2018,VBS
qf_shls_entl/bolognesa-10-e01.tptp.smt2,0.01397,3.28226,none,none,0.070573,0.054187,0.184468,0.013479,none,s2s.0.3.3
qf_shls_entl/bolognesa-10-e02.tptp.smt2,0.012915,2.98479,none,none,0.070013,0.040801,1.82,0.012699,none,s2s.0.3.3
qf_shls_entl/bolognesa-10-e03.tptp.smt2,0.013664,3.47783,none,none,0.069156,0.05537,5.4,0.013108,none,s2s.0.3.3
qf_shls_entl/bolognesa-10-e04.tptp.smt2,0.013666,3.56881,none,none,0.074411,0.054169,0.121017,0.014414,none,ASTERIX
qf_shls_entl/bolognesa-10-e05.tptp.smt2,0.014602,3.22568,none,none,0.070878,0.048118,0.102675,0.01324,none,s2s.0.3.3
qf_shls_entl/bolognesa-10-e06.tptp.smt2,0.013943,3.01073,none,none,0.071977,0.041128,0.065669,0.015169,none,ASTERIX
qf_shls_entl/bolognesa-10-e07.tptp.smt2,0.013897,3.00499,none,none,0.070435,0.050088,0.139543,0.013678,none,s2s.0.3.3
qf_shls_entl/bolognesa-10-e08.tptp.smt2,0.014046,3.1545,none,none,0.069311,0.04538,0.093224,0.014147,none,ASTERIX
qf_shls_entl/bolognesa-10-e09.tptp.smt2,0.014229,3.57332,none,none,0.069507,0.057467,0.155165,0.015305,none,ASTERIX
qf_shls_entl/bolognesa-10-e10.tptp.smt2,0.013161,3.49995,none,none,0.071454,0.055904,5.27,0.013611,none,ASTERIX
qf_shls_entl/bolognesa-11-e01.tptp.smt2,0.014134,3.91783,none,none,0.073508,0.053407,5.33,0.013078,none,s2s.0.3.3
qf_shls_entl/bolognesa-11-e02.tptp.smt2,0.015433,3.77708,none,none,0.074071,0.049843,5.35,0.013194,none,s2s.0.3.3
qf_shls_entl/bolognesa-11-e03.tptp.smt2,0.013421,4.39658,none,none,0.070534,0.069473,5.44,0.015306,none,ASTERIX
qf_shls_entl/bolognesa-11-e04.tptp.smt2,0.014496,4.01946,none,none,0.069804,0.061589,4.65,0.014397,none,s2s.0.3.3
qf_shls_entl/bolognesa-11-e05.tptp.smt2,0.015597,7.59168,none,none,0.073115,0.054061,0.101079,0.013935,none,s2s.0.3.3
qf_shls_entl/bolognesa-11-e06.tptp.smt2,0.014152,4.16287,none,none,0.070559,0.058034,0.150351,0.017482,none,ASTERIX
qf_shls_entl/bolognesa-11-e07.tptp.smt2,0.013305,3.94175,none,none,0.068695,0.055204,3.6,0.012838,none,s2s.0.3.3
qf_shls_entl/bolognesa-11-e08.tptp.smt2,0.01338,3.66062,none,none,0.069259,0.047243,5.32,0.015743,none,ASTERIX
qf_shls_entl/bolognesa-11-e09.tptp.smt2,0.013048,7.65087,none,none,0.069359,0.050951,2.9,0.013788,none,ASTERIX
qf_shls_entl/bolognesa-11-e10.tptp.smt2,0.014345,4.01996,none,none,0.072805,0.058519,0.160734,0.016646,none,ASTERIX
qf_shls_entl/bolognesa-12-e01.tptp.smt2,0.013233,4.60748,none,none,0.070377,0.055973,5.44,0.014475,none,ASTERIX
qf_shls_entl/bolognesa-12-e02.tptp.smt2,0.014748,4.82002,none,none,0.070732,0.059398,0.154658,0.014651,none,s2s.0.3.3
qf_shls_entl/bolognesa-12-e03.tptp.smt2,0.01478,5.21906,none,none,0.072697,0.075818,0.204974,0.01557,none,ASTERIX
qf_shls_entl/bolognesa-12-e04.tptp.smt2,0.015392,5.1214,none,none,0.075282,0.073917,0.17571,0.016334,none,ASTERIX
qf_shls_entl/bolognesa-12-e05.tptp.smt2,0.013264,4.53215,none,none,0.069258,0.054799,3.44,0.013594,none,ASTERIX
qf_shls_entl/bolognesa-12-e06.tptp.smt2,0.014632,4.04609,none,none,0.072132,0.044188,2.5,0.014076,none,s2s.0.3.3
qf_shls_entl/bolognesa-12-e07.tptp.smt2,0.014231,4.40332,none,none,0.07396,0.051796,0.119512,0.01434,none,ASTERIX
qf_shls_entl/bolognesa-12-e08.tptp.smt2,0.015069,4.84599,none,none,0.071412,0.060337,5.63,0.01727,none,ASTERIX
qf_shls_entl/bolognesa-12-e09.tptp.smt2,0.016516,4.7027,none,none,0.077994,0.056884,6.26,0.034861,none,ASTERIX
