benchmark,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,VBS
shidlia_entl/dllnull_len_entails_dllrev_len.sb.smt2,none,2.82,0.168954,s2s.0.3.3
shidlia_entl/dllnull_len_entails_dllrev_len_num-1.sb.smt2,none,14.7,0.169204,s2s.0.3.3
shidlia_entl/dllnull_len_entails_dllrev_len_num-2.sb.smt2,none,54.87,0.168821,s2s.0.3.3
shidlia_entl/dllnull_len_entails_dll_len.sb.smt2,0.119147,2.68,0.169592,SLEEK
shidlia_entl/dllnull_len_entails_dll_len_num-1.sb.smt2,none,3.59,0.17178,s2s.0.3.3
shidlia_entl/dllnull_len_entails_dll_len_num-2.sb.smt2,none,11.68,0.174865,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs.sb.smt2,none,10.14,0.172882,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs_num-1.sb.smt2,none,47.61,0.17106,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs_num-2.sb.smt2,none,93.31,0.169272,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs_num-3.sb.smt2,none,47.44,0.169002,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs_num-4.sb.smt2,none,47.45,0.168591,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrevs_num-5.sb.smt2,none,93.12,0.16916,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll.sb.smt2,none,3.48,0.249772,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node.sb.smt2,none,3.53,0.246774,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node_num-1.sb.smt2,none,92.88,0.254119,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node_num-2.sb.smt2,none,139.22,0.250673,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node_num-3.sb.smt2,none,93.0,0.249341,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node_num-4.sb.smt2,none,93.07,0.250272,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_node_num-5.sb.smt2,none,138.42,0.256754,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_num-1.sb.smt2,none,83.03,0.246466,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_num-2.sb.smt2,none,128.61,0.253631,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_num-3.sb.smt2,none,138.349,0.25287,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_num-4.sb.smt2,none,83.22,0.253666,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_dll_num-5.sb.smt2,none,129.39,0.253839,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_len_last-1.sb.smt2,none,34.97,0.170378,s2s.0.3.3
shidlia_entl/dllnull_len_split_dllrev_len_last-2.sb.smt2,none,49.3,0.17106,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls.sb.smt2,none,2.71,0.171755,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls_num-1.sb.smt2,none,28.3,0.170701,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls_num-2.sb.smt2,none,58.41,0.16751,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls_num-3.sb.smt2,none,28.38,0.170482,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls_num-4.sb.smt2,none,28.18,0.171631,s2s.0.3.3
shidlia_entl/dllnull_len_split_dlls_num-5.sb.smt2,none,74.29,0.170215,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev.sb.smt2,none,5.0,0.248656,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev_num-1.sb.smt2,none,83.46,0.251374,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev_num-2.sb.smt2,none,122.89,0.250712,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev_num-3.sb.smt2,none,121.59,0.248473,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev_num-4.sb.smt2,none,none,0.249368,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_dllrev_num-5.sb.smt2,none,none,0.248654,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_len_last-1.sb.smt2,none,10.72,0.172284,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_len_last-2.sb.smt2,none,18.97,0.168599,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev.sb.smt2,none,4.79,0.251045,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev_num-1.sb.smt2,none,none,0.255021,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev_num-2.sb.smt2,none,none,0.25321,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev_num-3.sb.smt2,none,none,0.252528,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev_num-4.sb.smt2,none,none,0.252859,s2s.0.3.3
shidlia_entl/dllnull_len_split_dll_node_dllrev_num-5.sb.smt2,none,none,0.245905,s2s.0.3.3
shidlia_entl/dllnull_len_split_hd_dllrev_len-1.sb.smt2,none,17.89,0.169823,s2s.0.3.3
shidlia_entl/dllnull_len_split_hd_dllrev_len-2.sb.smt2,none,42.23,0.171753,s2s.0.3.3
shidlia_entl/dllnull_len_split_hd_dll_len-1.sb.smt2,none,20.41,0.169758,s2s.0.3.3
shidlia_entl/dllnull_len_split_hd_dll_len-2.sb.smt2,none,8.77,0.172655,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_first.sb.smt2,none,2.16,0.185143,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_first_last.sb.smt2,none,1.5,0.18452,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_first_num-1.sb.smt2,none,26.22,0.183918,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_first_num-2.sb.smt2,none,25.92,0.187044,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_last-1.sb.smt2,none,25.15,0.182871,s2s.0.3.3
shidlia_entl/dllrev_len_concat_dll_len_get_last-2.sb.smt2,none,25.04,0.187634,s2s.0.3.3
shidlia_entl/dll_len_append_tail_entails_dllnull_num-3.sb.smt2,none,3.22,0.170427,s2s.0.3.3
shidlia_entl/dll_len_concat_dllrev_len_get_last-1.sb.smt2,none,25.08,0.185099,s2s.0.3.3
shidlia_entl/dll_len_concat_dllrev_len_get_last-2.sb.smt2,none,25.13,0.181794,s2s.0.3.3
shidlia_entl/dll_len_concat_dllrev_len_get_last.sb.smt2,none,5.4,0.255037,s2s.0.3.3
shidlia_entl/dll_len_concat_dllrev_len_get_last_num-1.sb.smt2,none,28.4,0.253427,s2s.0.3.3
shidlia_entl/dll_len_concat_dllrev_len_get_last_num-2.sb.smt2,none,28.2,0.254946,s2s.0.3.3
shidlia_entl/dll_len_entails_ls_len_node.sb.smt2,none,0.071125,0.176292,Songbird
shidlia_entl/dll_len_entails_ls_len_node_num-1.sb.smt2,none,4.65,0.177959,s2s.0.3.3
shidlia_entl/dll_len_entails_ls_len_node_num-2.sb.smt2,none,50.29,0.182586,s2s.0.3.3
shidlia_entl/dll_len_entails_node_lsrev_len.sb.smt2,none,0.122564,0.168243,Songbird
shidlia_entl/dll_len_entails_node_lsrev_len_num-1.sb.smt2,none,7.06,0.166625,s2s.0.3.3
shidlia_entl/dll_len_entails_node_lsrev_len_num-2.sb.smt2,none,51.3,0.167526,s2s.0.3.3
shidlia_entl/dll_len_get_1_hd_4_lasts.sb.smt2,none,7.22,0.123314,s2s.0.3.3
shidlia_entl/dll_len_get_1_last.sb.smt2,none,7.16,0.12282,s2s.0.3.3
shidlia_entl/dll_len_get_2_hd_3_lasts.sb.smt2,none,7.2,0.115704,s2s.0.3.3
shidlia_entl/dll_len_get_2_lasts.sb.smt2,none,7.1,0.120787,s2s.0.3.3
shidlia_entl/dll_len_get_3_hd_2_lasts.sb.smt2,none,7.13,0.113261,s2s.0.3.3
shidlia_entl/dll_len_get_3_lasts.sb.smt2,none,7.19,0.122842,s2s.0.3.3
shidlia_entl/dll_len_get_4_hd_1_last.sb.smt2,none,7.2,0.112886,s2s.0.3.3
shidlia_entl/dll_len_get_4_lasts.sb.smt2,none,7.19,0.12276,s2s.0.3.3
