pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430512732,qf_shid_sat/abduced00.defs.smt2,8318320,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.18204,1.37499,3071656.0,sat,sat
430512728,qf_shid_sat/abduced01.defs.smt2,8318316,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.16546,1.3664,3069512.0,sat,sat
430512725,qf_shid_sat/abduced02.defs.smt2,8318313,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.17116,1.38154,3072320.0,sat,sat
430512724,qf_shid_sat/abduced03.defs.smt2,8318312,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.24438,1.39633,3072656.0,sat,sat
430512720,qf_shid_sat/abduced04.defs.smt2,8318308,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.20508,1.37651,3072312.0,sat,sat
430512712,qf_shid_sat/abduced05.defs.smt2,8318300,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.23044,1.39032,3069588.0,sat,sat
430512710,qf_shid_sat/abduced06.defs.smt2,8318298,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.22638,1.392,3072672.0,sat,sat
430512709,qf_shid_sat/abduced07.defs.smt2,8318297,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.23692,1.37769,3072640.0,sat,sat
430512746,qf_shid_sat/abduced08.defs.smt2,8318334,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.22973,1.39681,3071160.0,sat,sat
430512751,qf_shid_sat/abduced09.defs.smt2,8318339,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.26126,1.39543,3069328.0,sat,sat
430512787,qf_shid_sat/abduced10.defs.smt2,8318375,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.28397,1.4067,3072344.0,sat,sat
430512789,qf_shid_sat/abduced11.defs.smt2,8318377,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.20417,1.39493,3072312.0,sat,sat
430512778,qf_shid_sat/abduced12.defs.smt2,8318366,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.23859,1.38573,3072660.0,sat,sat
430512781,qf_shid_sat/abduced13.defs.smt2,8318369,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.26036,1.40831,3072436.0,sat,sat
430512802,qf_shid_sat/abduced14.defs.smt2,8318390,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.22752,1.39034,3072260.0,sat,sat
430512806,qf_shid_sat/abduced15.defs.smt2,8318394,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.24866,1.38861,3069640.0,sat,sat
430512796,qf_shid_sat/abduced16.defs.smt2,8318384,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.17339,1.36964,3072080.0,sat,sat
430512799,qf_shid_sat/abduced17.defs.smt2,8318387,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.2064,1.38107,3072164.0,sat,sat
430512762,qf_shid_sat/abduced18.defs.smt2,8318350,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.20606,1.39485,3072332.0,sat,sat
430512760,qf_shid_sat/abduced19.defs.smt2,8318348,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.20706,1.38685,3071168.0,sat,sat
430512750,qf_shid_sat/atll-01.smt2,8318338,Harrsh 2019.4,22572,harrsh_default,326427,complete,1.94526,1.31596,3072000.0,sat,sat
430512792,qf_shid_sat/atll-02.smt2,8318380,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.05201,1.37726,3072076.0,unsat,unsat
430512773,qf_shid_sat/atll-03.smt2,8318361,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.02996,1.3555,3071964.0,unsat,unsat
430512744,qf_shid_sat/dll-01.smt2,8318332,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.04667,1.37926,3072248.0,unsat,unsat
430512783,qf_shid_sat/dll-02.smt2,8318371,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.12081,1.39522,3072048.0,unsat,unsat
430512765,qf_shid_sat/dll-03.smt2,8318353,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.41237,1.50044,3072940.0,sat,sat
430512717,qf_shid_sat/dll-04.smt2,8318305,Harrsh 2019.4,22572,harrsh_default,326427,complete,5.74805,1.63581,3072840.0,unsat,unsat
430512752,qf_shid_sat/dll-05.smt2,8318340,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.6033,1.52616,3072600.0,sat,sat
430512793,qf_shid_sat/dll-06.smt2,8318381,Harrsh 2019.4,22572,harrsh_default,326427,complete,7.9272,4.82148,3074036.0,unsat,unsat
430512759,qf_shid_sat/dltree-01.smt2,8318347,Harrsh 2019.4,22572,harrsh_default,326427,complete,1.93327,1.3188,3072020.0,sat,sat
430512782,qf_shid_sat/inconsistent-ls-of-ls.defs.smt2,8318370,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.03634,1.36681,3072092.0,unsat,unsat
430512770,qf_shid_sat/lasso-01.smt2,8318358,Harrsh 2019.4,22572,harrsh_default,326427,complete,1.96859,1.32175,3071952.0,sat,sat
430512716,qf_shid_sat/lasso-02.smt2,8318304,Harrsh 2019.4,22572,harrsh_default,326427,complete,1.98425,1.41341,3071992.0,unsat,unsat
430512747,qf_shid_sat/lasso-03.smt2,8318335,Harrsh 2019.4,22572,harrsh_default,326427,complete,1.99812,1.3533,3072044.0,unsat,unsat
430512777,qf_shid_sat/lasso-04.smt2,8318365,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.03785,1.36281,3072044.0,unsat,unsat
430512763,qf_shid_sat/lasso-05.smt2,8318351,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.07212,1.39923,3072036.0,sat,sat
430512790,qf_shid_sat/lss-03-01.smt2,8318378,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.07091,1.38768,3072060.0,unsat,unsat
430512753,qf_shid_sat/lss-03-02.smt2,8318341,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.08053,1.38686,3071900.0,unsat,unsat
430512718,qf_shid_sat/lss-03-03.smt2,8318306,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.06438,1.40409,3072048.0,unsat,unsat
430512748,qf_shid_sat/lss-04-01.smt2,8318336,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.23908,1.4531,3072028.0,sat,sat
430512788,qf_shid_sat/lss-04-02.smt2,8318376,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.21196,1.43209,3072060.0,sat,sat
430512771,qf_shid_sat/lss-04-03.smt2,8318359,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.15306,1.41827,3072080.0,unsat,unsat
430512713,qf_shid_sat/lss-05-01.smt2,8318301,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.30249,1.48382,3072016.0,sat,sat
430512767,qf_shid_sat/lss-05-02.smt2,8318355,Harrsh 2019.4,22572,harrsh_default,326427,complete,2.29625,1.4667,3071888.0,sat,sat
