pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430512330,qf_shlid_entl/dll-vc01.smt2,8318278,Cyclist-SL,1136,default,1487,complete,0.017294,0.0170001,113176.0,unsat,unsat
430512288,qf_shlid_entl/dll-vc02.smt2,8318236,Cyclist-SL,1136,default,1487,complete,0.018302,0.0180059,113176.0,unsat,unsat
430512312,qf_shlid_entl/dll-vc03.smt2,8318260,Cyclist-SL,1136,default,1487,complete,0.024441,0.024226,113176.0,unsat,unsat
430512336,qf_shlid_entl/dll-vc04.smt2,8318284,Cyclist-SL,1136,default,1487,complete,3.74947,3.74943,155068.0,starexec-unknown,sat
430512332,qf_shlid_entl/dll-vc05.smt2,8318280,Cyclist-SL,1136,default,1487,complete,0.579608,0.579321,154668.0,unsat,unsat
430512293,qf_shlid_entl/dll-vc06.smt2,8318241,Cyclist-SL,1136,default,1487,complete,427.49,427.467,164724.0,starexec-unknown,sat
430512317,qf_shlid_entl/dll-vc07.smt2,8318265,Cyclist-SL,1136,default,1487,complete,0.06117,0.0608769,113176.0,unsat,unsat
430512341,qf_shlid_entl/dll-vc08.smt2,8318289,Cyclist-SL,1136,default,1487,complete,1233.15,1233.17,164724.0,starexec-unknown,sat
430512323,qf_shlid_entl/dll-vc09.smt2,8318271,Cyclist-SL,1136,default,1487,complete,0.159725,0.159506,113176.0,unsat,unsat
430512339,qf_shlid_entl/dll-vc10.smt2,8318287,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.78,2400.03,154668.0,starexec-unknown,sat
430512320,qf_shlid_entl/dll-vc11.smt2,8318268,Cyclist-SL,1136,default,1487,complete,28.4543,28.4526,154668.0,unsat,unsat
430512295,qf_shlid_entl/dll-vc12.smt2,8318243,Cyclist-SL,1136,default,1487,complete,598.944,598.95,165124.0,starexec-unknown,sat
430512303,qf_shlid_entl/dll-vc13.smt2,8318251,Cyclist-SL,1136,default,1487,complete,12.142,12.1419,155068.0,starexec-unknown,sat
430512345,qf_shlid_entl/dll-vc14.smt2,8318293,Cyclist-SL,1136,default,1487,complete,3.23094,3.23071,155068.0,starexec-unknown,sat
430512327,qf_shlid_entl/dll-vc15.smt2,8318275,Cyclist-SL,1136,default,1487,complete,0.014555,0.014253,113176.0,unsat,unsat
430512300,qf_shlid_entl/dll-vc16.smt2,8318248,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.85,2400.02,154668.0,starexec-unknown,sat
430512309,qf_shlid_entl/dll-vc17.smt2,8318257,Cyclist-SL,1136,default,1487,complete,0.109225,0.108924,113176.0,unsat,unsat
430512321,qf_shlid_entl/lss-vc01.smt2,8318269,Cyclist-SL,1136,default,1487,complete,0.016261,0.0160051,113176.0,unsat,unsat
430512297,qf_shlid_entl/lss-vc02.smt2,8318245,Cyclist-SL,1136,default,1487,complete,0.027194,0.026837,113176.0,unsat,unsat
430512306,qf_shlid_entl/lss-vc03.smt2,8318254,Cyclist-SL,1136,default,1487,complete,0.056341,0.056362,113176.0,unsat,unsat
430512298,qf_shlid_entl/nll-vc01.smt2,8318246,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.81,2400.01,154668.0,starexec-unknown,unsat
430512325,qf_shlid_entl/nll-vc02.smt2,8318273,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.95,2400.11,154776.0,starexec-unknown,unsat
430512342,qf_shlid_entl/nll-vc03.smt2,8318290,Cyclist-SL,1136,default,1487,timeout (cpu),2400.02,2399.99,154668.0,starexec-unknown,unsat
430512310,qf_shlid_entl/nll-vc04.smt2,8318258,Cyclist-SL,1136,default,1487,timeout (cpu),2400.05,2400.04,154668.0,starexec-unknown,unsat
430512302,qf_shlid_entl/nll-vc05.smt2,8318250,Cyclist-SL,1136,default,1487,complete,11.5287,11.528,155068.0,unsat,unsat
430512329,qf_shlid_entl/nll-vc06.smt2,8318277,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.85,2400.06,154668.0,starexec-unknown,sat
430512346,qf_shlid_entl/nll-vc07.smt2,8318294,Cyclist-SL,1136,default,1487,complete,0.082734,0.082441,113176.0,unsat,unsat
430512314,qf_shlid_entl/nll-vc08.smt2,8318262,Cyclist-SL,1136,default,1487,complete,4.89283,4.89233,176780.0,unsat,unsat
430512290,qf_shlid_entl/nll-vc09.smt2,8318238,Cyclist-SL,1136,default,1487,complete,0.356733,0.357541,113176.0,unsat,unsat
430512315,qf_shlid_entl/nll-vc10.smt2,8318263,Cyclist-SL,1136,default,1487,complete,2.4698,2.46961,176780.0,unsat,unsat
430512291,qf_shlid_entl/nll-vc11.smt2,8318239,Cyclist-SL,1136,default,1487,complete,0.040092,0.0398379,113176.0,unsat,unsat
430512331,qf_shlid_entl/nll-vc12.smt2,8318279,Cyclist-SL,1136,default,1487,complete,0.074405,0.0741289,113176.0,unsat,unsat
430512335,qf_shlid_entl/nll-vc13.smt2,8318283,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.85,2400.05,155068.0,starexec-unknown,sat
430512318,qf_shlid_entl/nll-vc14.smt2,8318266,Cyclist-SL,1136,default,1487,timeout (wallclock),2399.98,2400.02,155068.0,starexec-unknown,sat
