pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430493739,qf_shls_entl/bolognesa-10-e01.tptp.smt2,8317378,ASTERIX,20618,default,304295,complete,0.01591,0.0213669,0.0,sat,sat
430493730,qf_shls_entl/bolognesa-10-e02.tptp.smt2,8317369,ASTERIX,20618,default,304295,complete,0.013193,0.0132461,113176.0,unsat,unsat
430493720,qf_shls_entl/bolognesa-10-e03.tptp.smt2,8317359,ASTERIX,20618,default,304295,complete,0.013745,0.013772,113176.0,unsat,unsat
430493702,qf_shls_entl/bolognesa-10-e04.tptp.smt2,8317341,ASTERIX,20618,default,304295,complete,0.013743,0.0138191,113176.0,sat,sat
430493697,qf_shls_entl/bolognesa-10-e05.tptp.smt2,8317336,ASTERIX,20618,default,304295,complete,0.014295,0.0143651,113176.0,sat,sat
430493688,qf_shls_entl/bolognesa-10-e06.tptp.smt2,8317327,ASTERIX,20618,default,304295,complete,0.013832,0.013864,113176.0,sat,sat
430493677,qf_shls_entl/bolognesa-10-e07.tptp.smt2,8317316,ASTERIX,20618,default,304295,complete,0.013663,0.0136969,113176.0,sat,sat
430493798,qf_shls_entl/bolognesa-10-e08.tptp.smt2,8317437,ASTERIX,20618,default,304295,complete,0.013551,0.0136109,113176.0,sat,sat
430493806,qf_shls_entl/bolognesa-10-e09.tptp.smt2,8317445,ASTERIX,20618,default,304295,complete,0.015424,0.015473,113176.0,sat,sat
430493623,qf_shls_entl/bolognesa-10-e10.tptp.smt2,8317262,ASTERIX,20618,default,304295,complete,0.013209,0.0132329,113176.0,unsat,unsat
430493612,qf_shls_entl/bolognesa-11-e01.tptp.smt2,8317251,ASTERIX,20618,default,304295,complete,0.0137,0.0138151,113176.0,unsat,unsat
430493642,qf_shls_entl/bolognesa-11-e02.tptp.smt2,8317281,ASTERIX,20618,default,304295,complete,0.013482,0.013523,113176.0,unsat,unsat
430493631,qf_shls_entl/bolognesa-11-e03.tptp.smt2,8317270,ASTERIX,20618,default,304295,complete,0.014393,0.014454,113176.0,unsat,unsat
430493650,qf_shls_entl/bolognesa-11-e04.tptp.smt2,8317289,ASTERIX,20618,default,304295,complete,0.014834,0.0149159,113176.0,unsat,unsat
430493645,qf_shls_entl/bolognesa-11-e05.tptp.smt2,8317284,ASTERIX,20618,default,304295,complete,0.01393,0.013961,113176.0,sat,sat
430493670,qf_shls_entl/bolognesa-11-e06.tptp.smt2,8317309,ASTERIX,20618,default,304295,complete,0.014061,0.01411,113176.0,sat,sat
430493659,qf_shls_entl/bolognesa-11-e07.tptp.smt2,8317298,ASTERIX,20618,default,304295,complete,0.015045,0.0151069,113176.0,unsat,unsat
430493520,qf_shls_entl/bolognesa-11-e08.tptp.smt2,8317159,ASTERIX,20618,default,304295,complete,0.013402,0.0134391,113176.0,unsat,unsat
430493530,qf_shls_entl/bolognesa-11-e09.tptp.smt2,8317169,ASTERIX,20618,default,304295,complete,0.014956,0.019241,0.0,unsat,unsat
430493712,qf_shls_entl/bolognesa-11-e10.tptp.smt2,8317351,ASTERIX,20618,default,304295,complete,0.01482,0.0180641,0.0,sat,sat
430493754,qf_shls_entl/bolognesa-12-e01.tptp.smt2,8317393,ASTERIX,20618,default,304295,complete,0.013382,0.0134359,113176.0,unsat,unsat
430493776,qf_shls_entl/bolognesa-12-e02.tptp.smt2,8317415,ASTERIX,20618,default,304295,complete,0.014767,0.0160261,0.0,sat,sat
430493768,qf_shls_entl/bolognesa-12-e03.tptp.smt2,8317407,ASTERIX,20618,default,304295,complete,0.016548,0.0178991,0.0,sat,sat
430493787,qf_shls_entl/bolognesa-12-e04.tptp.smt2,8317426,ASTERIX,20618,default,304295,complete,0.014618,0.01469,113176.0,sat,sat
430493778,qf_shls_entl/bolognesa-12-e05.tptp.smt2,8317417,ASTERIX,20618,default,304295,complete,0.01374,0.0137929,113176.0,unsat,unsat
430493809,qf_shls_entl/bolognesa-12-e06.tptp.smt2,8317448,ASTERIX,20618,default,304295,complete,0.013205,0.013285,113176.0,unsat,unsat
430493800,qf_shls_entl/bolognesa-12-e07.tptp.smt2,8317439,ASTERIX,20618,default,304295,complete,0.01499,0.0182301,0.0,sat,sat
430493679,qf_shls_entl/bolognesa-12-e08.tptp.smt2,8317318,ASTERIX,20618,default,304295,complete,0.014841,0.014925,113176.0,unsat,unsat
430493689,qf_shls_entl/bolognesa-12-e09.tptp.smt2,8317328,ASTERIX,20618,default,304295,complete,0.015284,0.0153529,113176.0,unsat,unsat
430493563,qf_shls_entl/bolognesa-12-e10.tptp.smt2,8317202,ASTERIX,20618,default,304295,complete,0.013942,0.0160081,0.0,unsat,unsat
430493592,qf_shls_entl/bolognesa-13-e01.tptp.smt2,8317231,ASTERIX,20618,default,304295,complete,0.014475,0.0145339,113176.0,unsat,unsat
430493578,qf_shls_entl/bolognesa-13-e02.tptp.smt2,8317217,ASTERIX,20618,default,304295,complete,0.016385,0.016478,113176.0,sat,sat
430493567,qf_shls_entl/bolognesa-13-e03.tptp.smt2,8317206,ASTERIX,20618,default,304295,complete,0.01404,0.01569,0.0,unsat,unsat
430493549,qf_shls_entl/bolognesa-13-e04.tptp.smt2,8317188,ASTERIX,20618,default,304295,complete,0.01448,0.0145141,113176.0,sat,sat
430493542,qf_shls_entl/bolognesa-13-e05.tptp.smt2,8317181,ASTERIX,20618,default,304295,complete,0.014395,0.0144211,113176.0,sat,sat
430493535,qf_shls_entl/bolognesa-13-e06.tptp.smt2,8317174,ASTERIX,20618,default,304295,complete,0.016027,0.0161141,113176.0,sat,sat
430493522,qf_shls_entl/bolognesa-13-e07.tptp.smt2,8317161,ASTERIX,20618,default,304295,complete,0.013985,0.014054,113176.0,unsat,unsat
430493661,qf_shls_entl/bolognesa-13-e08.tptp.smt2,8317300,ASTERIX,20618,default,304295,complete,0.01665,0.0205639,0.0,unsat,unsat
430493671,qf_shls_entl/bolognesa-13-e09.tptp.smt2,8317310,ASTERIX,20618,default,304295,complete,0.014444,0.0145101,113176.0,sat,sat
430493764,qf_shls_entl/bolognesa-13-e10.tptp.smt2,8317403,ASTERIX,20618,default,304295,complete,0.015676,0.0191719,0.0,sat,sat
430493626,qf_shls_entl/bolognesa-14-e01.tptp.smt2,8317265,ASTERIX,20618,default,304295,complete,0.015674,0.0157059,113176.0,unsat,unsat
430493618,qf_shls_entl/bolognesa-14-e02.tptp.smt2,8317257,ASTERIX,20618,default,304295,complete,0.01567,0.0157359,113176.0,unsat,unsat
430493603,qf_shls_entl/bolognesa-14-e03.tptp.smt2,8317242,ASTERIX,20618,default,304295,complete,0.014291,0.014319,113176.0,unsat,unsat
430493672,qf_shls_entl/bolognesa-14-e04.tptp.smt2,8317311,ASTERIX,20618,default,304295,complete,0.013726,0.013806,113176.0,unsat,unsat
430493665,qf_shls_entl/bolognesa-14-e05.tptp.smt2,8317304,ASTERIX,20618,default,304295,complete,0.015555,0.0156321,113176.0,sat,sat
430493657,qf_shls_entl/bolognesa-14-e06.tptp.smt2,8317296,ASTERIX,20618,default,304295,complete,0.014688,0.014719,113176.0,unsat,unsat
430493647,qf_shls_entl/bolognesa-14-e07.tptp.smt2,8317286,ASTERIX,20618,default,304295,complete,0.014195,0.0142141,113176.0,unsat,unsat
430493547,qf_shls_entl/bolognesa-14-e08.tptp.smt2,8317186,ASTERIX,20618,default,304295,complete,0.015698,0.015723,113176.0,unsat,unsat
430493553,qf_shls_entl/bolognesa-14-e09.tptp.smt2,8317192,ASTERIX,20618,default,304295,complete,0.01401,0.014064,113176.0,unsat,unsat
430493736,qf_shls_entl/bolognesa-14-e10.tptp.smt2,8317375,ASTERIX,20618,default,304295,complete,0.016789,0.022249,0.0,sat,sat
430493717,qf_shls_entl/bolognesa-15-e01.tptp.smt2,8317356,ASTERIX,20618,default,304295,complete,0.013956,0.0139901,113176.0,unsat,unsat
430493743,qf_shls_entl/bolognesa-15-e02.tptp.smt2,8317382,ASTERIX,20618,default,304295,complete,0.01503,0.0208589,0.0,unsat,unsat
430493732,qf_shls_entl/bolognesa-15-e03.tptp.smt2,8317371,ASTERIX,20618,default,304295,complete,0.01511,0.015134,113176.0,sat,sat
430493691,qf_shls_entl/bolognesa-15-e04.tptp.smt2,8317330,ASTERIX,20618,default,304295,complete,0.014342,0.014411,113176.0,unsat,unsat
430493683,qf_shls_entl/bolognesa-15-e05.tptp.smt2,8317322,ASTERIX,20618,default,304295,complete,0.015524,0.0155619,113176.0,unsat,unsat
430493710,qf_shls_entl/bolognesa-15-e06.tptp.smt2,8317349,ASTERIX,20618,default,304295,complete,0.015041,0.0190839,0.0,unsat,unsat
430493698,qf_shls_entl/bolognesa-15-e07.tptp.smt2,8317337,ASTERIX,20618,default,304295,complete,0.01394,0.013978,113176.0,unsat,unsat
430493785,qf_shls_entl/bolognesa-15-e08.tptp.smt2,8317424,ASTERIX,20618,default,304295,complete,0.015432,0.015476,113176.0,sat,sat
430493790,qf_shls_entl/bolognesa-15-e09.tptp.smt2,8317429,ASTERIX,20618,default,304295,complete,0.015562,0.0156309,113176.0,sat,sat
430493607,qf_shls_entl/bolognesa-15-e10.tptp.smt2,8317246,ASTERIX,20618,default,304295,complete,0.014111,0.0141429,113176.0,unsat,unsat
430493565,qf_shls_entl/bolognesa-16-e01.tptp.smt2,8317204,ASTERIX,20618,default,304295,complete,0.014732,0.0148129,113176.0,unsat,unsat
430493595,qf_shls_entl/bolognesa-16-e02.tptp.smt2,8317234,ASTERIX,20618,default,304295,complete,0.016249,0.016304,113176.0,sat,sat
430493582,qf_shls_entl/bolognesa-16-e03.tptp.smt2,8317221,ASTERIX,20618,default,304295,complete,0.016741,0.016824,113176.0,sat,sat
430493536,qf_shls_entl/bolognesa-16-e04.tptp.smt2,8317175,ASTERIX,20618,default,304295,complete,0.015224,0.0152541,113176.0,sat,sat
430493524,qf_shls_entl/bolognesa-16-e05.tptp.smt2,8317163,ASTERIX,20618,default,304295,complete,0.016012,0.0160901,113176.0,unsat,unsat
430493559,qf_shls_entl/bolognesa-16-e06.tptp.smt2,8317198,ASTERIX,20618,default,304295,complete,0.015648,0.0187301,0.0,sat,sat
430493548,qf_shls_entl/bolognesa-16-e07.tptp.smt2,8317187,ASTERIX,20618,default,304295,complete,0.014458,0.0145299,113176.0,unsat,unsat
430493649,qf_shls_entl/bolognesa-16-e08.tptp.smt2,8317288,ASTERIX,20618,default,304295,complete,0.014563,0.014629,113176.0,unsat,unsat
430493658,qf_shls_entl/bolognesa-16-e09.tptp.smt2,8317297,ASTERIX,20618,default,304295,complete,0.014204,0.014267,113176.0,unsat,unsat
430493753,qf_shls_entl/bolognesa-16-e10.tptp.smt2,8317392,ASTERIX,20618,default,304295,complete,0.015807,0.0158801,113176.0,sat,sat
430493767,qf_shls_entl/bolognesa-17-e01.tptp.smt2,8317406,ASTERIX,20618,default,304295,complete,0.014502,0.0145771,113176.0,unsat,unsat
430493756,qf_shls_entl/bolognesa-17-e02.tptp.smt2,8317395,ASTERIX,20618,default,304295,complete,0.017472,0.017552,113176.0,sat,sat
430493747,qf_shls_entl/bolognesa-17-e03.tptp.smt2,8317386,ASTERIX,20618,default,304295,complete,0.017361,0.0174309,113176.0,sat,sat
430493811,qf_shls_entl/bolognesa-17-e04.tptp.smt2,8317450,ASTERIX,20618,default,304295,complete,0.016349,0.0176701,0.0,unsat,unsat
430493803,qf_shls_entl/bolognesa-17-e05.tptp.smt2,8317442,ASTERIX,20618,default,304295,complete,0.016113,0.019694,0.0,unsat,unsat
