pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430235150,qf_shls_sat/spaguetti-10-e01.tptp.smt2,8317077,s2s.0.3.3,22440,default,326050,complete,0.012405,0.0124871,113176.0,unsat,unsat
430235158,qf_shls_sat/spaguetti-10-e02.tptp.smt2,8317085,s2s.0.3.3,22440,default,326050,complete,0.012439,0.012595,113176.0,sat,sat
430235154,qf_shls_sat/spaguetti-10-e03.tptp.smt2,8317081,s2s.0.3.3,22440,default,326050,complete,0.012496,0.0125579,113176.0,unsat,unsat
430235165,qf_shls_sat/spaguetti-10-e04.tptp.smt2,8317092,s2s.0.3.3,22440,default,326050,complete,0.012978,0.0130321,113176.0,unsat,unsat
430235162,qf_shls_sat/spaguetti-10-e05.tptp.smt2,8317089,s2s.0.3.3,22440,default,326050,complete,0.012318,0.0123559,113176.0,sat,sat
430235171,qf_shls_sat/spaguetti-10-e06.tptp.smt2,8317098,s2s.0.3.3,22440,default,326050,complete,0.011734,0.0117939,113176.0,sat,sat
430235168,qf_shls_sat/spaguetti-10-e07.tptp.smt2,8317095,s2s.0.3.3,22440,default,326050,complete,0.012622,0.012674,113176.0,sat,sat
430235124,qf_shls_sat/spaguetti-10-e08.tptp.smt2,8317051,s2s.0.3.3,22440,default,326050,complete,0.012644,0.0126929,113176.0,unsat,unsat
430235129,qf_shls_sat/spaguetti-10-e09.tptp.smt2,8317056,s2s.0.3.3,22440,default,326050,complete,0.012213,0.0122881,113176.0,unsat,unsat
430235187,qf_shls_sat/spaguetti-10-e10.tptp.smt2,8317114,s2s.0.3.3,22440,default,326050,complete,0.012581,0.0126249,113176.0,sat,sat
430235190,qf_shls_sat/spaguetti-11-e01.tptp.smt2,8317117,s2s.0.3.3,22440,default,326050,complete,0.012409,0.012446,113176.0,unsat,unsat
430235188,qf_shls_sat/spaguetti-11-e02.tptp.smt2,8317115,s2s.0.3.3,22440,default,326050,complete,0.012341,0.012418,113176.0,sat,sat
430235184,qf_shls_sat/spaguetti-11-e03.tptp.smt2,8317111,s2s.0.3.3,22440,default,326050,complete,0.012242,0.012283,113176.0,sat,sat
