pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
430114546,shidlia_entl/dllnull_len_entails_dllrev_len.sb.smt2,8318964,s2s.0.3.3,22440,default,326050,complete,0.169661,0.165956,113176.0,unsat,unsat
430114513,shidlia_entl/dllnull_len_entails_dllrev_len_num-1.sb.smt2,8318931,s2s.0.3.3,22440,default,326050,complete,0.172871,0.169948,113176.0,unsat,unsat
430114628,shidlia_entl/dllnull_len_entails_dllrev_len_num-2.sb.smt2,8319046,s2s.0.3.3,22440,default,326050,complete,0.171118,0.167425,113176.0,unsat,unsat
430114591,shidlia_entl/dllnull_len_entails_dll_len.sb.smt2,8319009,s2s.0.3.3,22440,default,326050,complete,0.171478,0.167967,113176.0,unsat,unsat
430114490,shidlia_entl/dllnull_len_entails_dll_len_num-1.sb.smt2,8318908,s2s.0.3.3,22440,default,326050,complete,0.171133,0.1675,113176.0,unsat,unsat
430114562,shidlia_entl/dllnull_len_entails_dll_len_num-2.sb.smt2,8318980,s2s.0.3.3,22440,default,326050,complete,0.17674,0.172863,113176.0,unsat,unsat
430114573,shidlia_entl/dllnull_len_split_dllrevs.sb.smt2,8318991,s2s.0.3.3,22440,default,326050,complete,0.169007,0.165434,113176.0,unsat,unsat
430114498,shidlia_entl/dllnull_len_split_dllrevs_num-1.sb.smt2,8318916,s2s.0.3.3,22440,default,326050,complete,0.175777,0.171896,113176.0,unsat,unsat
430114578,shidlia_entl/dllnull_len_split_dllrevs_num-2.sb.smt2,8318996,s2s.0.3.3,22440,default,326050,complete,0.169689,0.165903,113176.0,unsat,unsat
430114645,shidlia_entl/dllnull_len_split_dllrevs_num-3.sb.smt2,8319063,s2s.0.3.3,22440,default,326050,complete,0.173735,0.169878,113176.0,unsat,unsat
430114522,shidlia_entl/dllnull_len_split_dllrevs_num-4.sb.smt2,8318940,s2s.0.3.3,22440,default,326050,complete,0.17398,0.170103,113176.0,unsat,unsat
430114495,shidlia_entl/dllnull_len_split_dllrevs_num-5.sb.smt2,8318913,s2s.0.3.3,22440,default,326050,complete,0.174173,0.172054,113176.0,unsat,unsat
430114582,shidlia_entl/dllnull_len_split_dllrev_dll.sb.smt2,8319000,s2s.0.3.3,22440,default,326050,complete,0.251024,0.245848,113176.0,unsat,unsat
430114471,shidlia_entl/dllnull_len_split_dllrev_dll_node.sb.smt2,8318889,s2s.0.3.3,22440,default,326050,complete,0.255485,0.250666,113176.0,unsat,unsat
430114558,shidlia_entl/dllnull_len_split_dllrev_dll_node_num-1.sb.smt2,8318976,s2s.0.3.3,22440,default,326050,complete,0.251228,0.249403,113176.0,unsat,unsat
430114492,shidlia_entl/dllnull_len_split_dllrev_dll_node_num-2.sb.smt2,8318910,s2s.0.3.3,22440,default,326050,complete,0.254151,0.249232,113176.0,unsat,unsat
430114514,shidlia_entl/dllnull_len_split_dllrev_dll_node_num-3.sb.smt2,8318932,s2s.0.3.3,22440,default,326050,complete,0.249288,0.245681,113176.0,unsat,unsat
430114629,shidlia_entl/dllnull_len_split_dllrev_dll_node_num-4.sb.smt2,8319047,s2s.0.3.3,22440,default,326050,complete,0.249257,0.247522,113176.0,unsat,unsat
430114555,shidlia_entl/dllnull_len_split_dllrev_dll_node_num-5.sb.smt2,8318973,s2s.0.3.3,22440,default,326050,complete,0.250341,0.245283,113176.0,unsat,unsat
430114622,shidlia_entl/dllnull_len_split_dllrev_dll_num-1.sb.smt2,8319040,s2s.0.3.3,22440,default,326050,complete,0.252424,0.247762,113176.0,unsat,unsat
430114544,shidlia_entl/dllnull_len_split_dllrev_dll_num-2.sb.smt2,8318962,s2s.0.3.3,22440,default,326050,complete,0.252925,0.248146,113176.0,unsat,unsat
430114478,shidlia_entl/dllnull_len_split_dllrev_dll_num-3.sb.smt2,8318896,s2s.0.3.3,22440,default,326050,complete,0.257774,0.252392,113176.0,unsat,unsat
430114592,shidlia_entl/dllnull_len_split_dllrev_dll_num-4.sb.smt2,8319010,s2s.0.3.3,22440,default,326050,complete,0.25438,0.252858,113176.0,unsat,unsat
430114620,shidlia_entl/dllnull_len_split_dllrev_dll_num-5.sb.smt2,8319038,s2s.0.3.3,22440,default,326050,complete,0.255414,0.250314,113176.0,unsat,unsat
430114587,shidlia_entl/dllnull_len_split_dllrev_len_last-1.sb.smt2,8319005,s2s.0.3.3,22440,default,326050,complete,0.169393,0.168167,113176.0,unsat,unsat
430114484,shidlia_entl/dllnull_len_split_dllrev_len_last-2.sb.smt2,8318902,s2s.0.3.3,22440,default,326050,complete,0.172232,0.168451,113176.0,unsat,unsat
430114635,shidlia_entl/dllnull_len_split_dlls.sb.smt2,8319053,s2s.0.3.3,22440,default,326050,complete,0.171774,0.168657,113176.0,unsat,unsat
430114572,shidlia_entl/dllnull_len_split_dlls_num-1.sb.smt2,8318990,s2s.0.3.3,22440,default,326050,complete,0.173929,0.170382,113176.0,unsat,unsat
430114501,shidlia_entl/dllnull_len_split_dlls_num-2.sb.smt2,8318919,s2s.0.3.3,22440,default,326050,complete,0.170008,0.166008,113176.0,unsat,unsat
430114519,shidlia_entl/dllnull_len_split_dlls_num-3.sb.smt2,8318937,s2s.0.3.3,22440,default,326050,complete,0.174564,0.171104,113176.0,unsat,unsat
430114646,shidlia_entl/dllnull_len_split_dlls_num-4.sb.smt2,8319064,s2s.0.3.3,22440,default,326050,complete,0.173431,0.169736,113176.0,unsat,unsat
430114575,shidlia_entl/dllnull_len_split_dlls_num-5.sb.smt2,8318993,s2s.0.3.3,22440,default,326050,complete,0.172316,0.168145,113176.0,unsat,unsat
430114509,shidlia_entl/dllnull_len_split_dll_dllrev.sb.smt2,8318927,s2s.0.3.3,22440,default,326050,complete,0.250816,0.249029,113176.0,unsat,unsat
430114631,shidlia_entl/dllnull_len_split_dll_dllrev_num-1.sb.smt2,8319049,s2s.0.3.3,22440,default,326050,complete,0.252914,0.249233,113176.0,unsat,unsat
430114510,shidlia_entl/dllnull_len_split_dll_dllrev_num-2.sb.smt2,8318928,s2s.0.3.3,22440,default,326050,complete,0.249477,0.244927,113176.0,unsat,unsat
430114487,shidlia_entl/dllnull_len_split_dll_dllrev_num-3.sb.smt2,8318905,s2s.0.3.3,22440,default,326050,complete,0.25313,0.247935,113176.0,unsat,unsat
430114568,shidlia_entl/dllnull_len_split_dll_dllrev_num-4.sb.smt2,8318986,s2s.0.3.3,22440,default,326050,complete,0.247703,0.243728,113176.0,unsat,unsat
430114633,shidlia_entl/dllnull_len_split_dll_dllrev_num-5.sb.smt2,8319051,s2s.0.3.3,22440,default,326050,complete,0.249973,0.24585,113176.0,unsat,unsat
430114554,shidlia_entl/dllnull_len_split_dll_len_last-1.sb.smt2,8318972,s2s.0.3.3,22440,default,326050,complete,0.168353,0.166132,113176.0,unsat,unsat
430114615,shidlia_entl/dllnull_len_split_dll_len_last-2.sb.smt2,8319033,s2s.0.3.3,22440,default,326050,complete,0.169536,0.165546,113176.0,unsat,unsat
