pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
433162596,qf_shid_entl/01.tst.smt2,8318666,Songbird v2,20617,songbird.sh,304292,complete,0.112812,0.235059,113176.0,unsat,unsat
433162347,qf_shid_entl/02.tst.smt2,8318417,Songbird v2,20617,songbird.sh,304292,complete,1.76,1.80153,192284.0,unsat,unsat
433162407,qf_shid_entl/03.tst.smt2,8318477,Songbird v2,20617,songbird.sh,304292,complete,0.074617,0.274329,113176.0,unsat,unsat
433162463,qf_shid_entl/04.tst.smt2,8318533,Songbird v2,20617,songbird.sh,304292,complete,1.22,1.29048,181984.0,unsat,unsat
433162394,qf_shid_entl/05.tst.smt2,8318464,Songbird v2,20617,songbird.sh,304292,complete,0.082372,0.162438,113176.0,unsat,unsat
433162573,qf_shid_entl/06.tst.smt2,8318643,Songbird v2,20617,songbird.sh,304292,complete,1.02,1.08835,179756.0,unsat,unsat
433162519,qf_shid_entl/07.tst.smt2,8318589,Songbird v2,20617,songbird.sh,304292,complete,0.073894,0.152533,113176.0,unsat,unsat
433162516,qf_shid_entl/08.tst.smt2,8318586,Songbird v2,20617,songbird.sh,304292,complete,0.097721,0.152779,113176.0,unsat,unsat
433162575,qf_shid_entl/09.tst.smt2,8318645,Songbird v2,20617,songbird.sh,304292,complete,2.38,2.37188,188780.0,unsat,unsat
433162556,qf_shid_entl/10.tst.smt2,8318626,Songbird v2,20617,songbird.sh,304292,complete,0.19488,0.325609,113176.0,unsat,unsat
433162602,qf_shid_entl/11.tst.smt2,8318672,Songbird v2,20617,songbird.sh,304292,complete,0.155807,0.262278,113176.0,unsat,unsat
433162351,qf_shid_entl/12.tst.smt2,8318421,Songbird v2,20617,songbird.sh,304292,complete,0.148285,0.247216,113176.0,unsat,unsat
433162419,qf_shid_entl/13.tst.smt2,8318489,Songbird v2,20617,songbird.sh,304292,complete,0.037315,0.0662101,113176.0,unsat,unsat
433162451,qf_shid_entl/14.tst.smt2,8318521,Songbird v2,20617,songbird.sh,304292,complete,0.036697,0.065941,113176.0,unsat,unsat
433162381,qf_shid_entl/15.tst.smt2,8318451,Songbird v2,20617,songbird.sh,304292,complete,5.1,5.08384,241160.0,unsat,unsat
433162561,qf_shid_entl/16.tst.smt2,8318631,Songbird v2,20617,songbird.sh,304292,complete,1.36,1.37781,188616.0,unsat,unsat
433162505,qf_shid_entl/17.tst.smt2,8318575,Songbird v2,20617,songbird.sh,304292,complete,5.09,5.11273,278752.0,unsat,unsat
433162506,qf_shid_entl/18.tst.smt2,8318576,Songbird v2,20617,songbird.sh,304292,complete,5.06,5.08557,278752.0,unsat,unsat
433162559,qf_shid_entl/19.tst.smt2,8318629,Songbird v2,20617,songbird.sh,304292,complete,0.105642,0.235445,113176.0,unsat,unsat
433162529,qf_shid_entl/20.tst.smt2,8318599,Songbird v2,20617,songbird.sh,304292,complete,0.54,0.611233,175696.0,unsat,unsat
433162618,qf_shid_entl/21.tst.smt2,8318688,Songbird v2,20617,songbird.sh,304292,complete,0.060983,0.241397,113176.0,unsat,unsat
433162331,qf_shid_entl/22.tst.smt2,8318401,Songbird v2,20617,songbird.sh,304292,complete,1.3,1.36489,186092.0,unsat,unsat
433162605,qf_shid_entl/append_dll_slk-1.smt2,8318675,Songbird v2,20617,songbird.sh,304292,complete,0.95,1.03959,179752.0,unsat,unsat
433162598,qf_shid_entl/append_dll_slk-10.smt2,8318668,Songbird v2,20617,songbird.sh,304292,complete,0.075468,0.154633,113176.0,unsat,unsat
433162481,qf_shid_entl/append_dll_slk-11.smt2,8318551,Songbird v2,20617,songbird.sh,304292,complete,0.015503,0.0527709,113176.0,unsat,unsat
433162354,qf_shid_entl/append_dll_slk-12.smt2,8318424,Songbird v2,20617,songbird.sh,304292,complete,0.051429,0.120029,113176.0,unsat,unsat
433162412,qf_shid_entl/append_dll_slk-2.smt2,8318482,Songbird v2,20617,songbird.sh,304292,complete,0.118029,0.238096,113176.0,unsat,unsat
433162371,qf_shid_entl/append_dll_slk-3.smt2,8318441,Songbird v2,20617,songbird.sh,304292,complete,1.17,1.20345,181688.0,unsat,unsat
433162524,qf_shid_entl/append_dll_slk-4.smt2,8318594,Songbird v2,20617,songbird.sh,304292,complete,0.181461,0.345083,113176.0,unsat,unsat
433162634,qf_shid_entl/append_dll_slk-5.smt2,8318704,Songbird v2,20617,songbird.sh,304292,complete,0.0156,0.0519309,113176.0,unsat,unsat
433162438,qf_shid_entl/append_dll_slk-6.smt2,8318508,Songbird v2,20617,songbird.sh,304292,complete,0.124141,0.245556,113176.0,unsat,unsat
433162396,qf_shid_entl/append_dll_slk-7.smt2,8318466,Songbird v2,20617,songbird.sh,304292,complete,0.133656,0.248141,113176.0,unsat,unsat
433162532,qf_shid_entl/append_dll_slk-8.smt2,8318602,Songbird v2,20617,songbird.sh,304292,complete,1.71,1.70815,186072.0,unsat,unsat
433162565,qf_shid_entl/append_dll_slk-9.smt2,8318635,Songbird v2,20617,songbird.sh,304292,complete,1.3,1.31888,181528.0,unsat,unsat
433162601,qf_shid_entl/append_sll_cll_slk-1.smt2,8318671,Songbird v2,20617,songbird.sh,304292,complete,0.034591,0.0956181,113176.0,unsat,unsat
433162480,qf_shid_entl/append_sll_cll_slk-10.smt2,8318550,Songbird v2,20617,songbird.sh,304292,complete,0.033841,0.0959401,113176.0,unsat,unsat
433162594,qf_shid_entl/append_sll_cll_slk-11.smt2,8318664,Songbird v2,20617,songbird.sh,304292,complete,0.016758,0.0589469,113176.0,unsat,unsat
433162402,qf_shid_entl/append_sll_cll_slk-12.smt2,8318472,Songbird v2,20617,songbird.sh,304292,complete,0.039406,0.105179,113176.0,unsat,unsat
