benchmark,Cyclist-SL,Harrsh-22687,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,slide-2018,VBS
qf_shid_entl/01.tst.smt2,0.019858,none,0.073349,0.112812,0.014492,none,s2s.0.3.3
qf_shid_entl/02.tst.smt2,0.023474,2.97574,0.076146,1.76,0.014778,none,s2s.0.3.3
qf_shid_entl/03.tst.smt2,0.019015,3.07768,0.071342,0.074617,0.012117,none,s2s.0.3.3
qf_shid_entl/04.tst.smt2,0.024998,2.98548,0.074311,1.22,0.012372,0.311835,s2s.0.3.3
qf_shid_entl/05.tst.smt2,0.018336,3.18671,0.070907,0.082372,0.012543,none,s2s.0.3.3
qf_shid_entl/06.tst.smt2,0.041412,3.15375,0.085693,1.02,0.012307,0.466932,s2s.0.3.3
qf_shid_entl/07.tst.smt2,0.024085,3.84661,0.105965,0.073894,0.012513,none,s2s.0.3.3
qf_shid_entl/08.tst.smt2,0.024251,3.55504,none,0.097721,0.014273,none,s2s.0.3.3
qf_shid_entl/09.tst.smt2,0.035854,4.60597,0.147458,2.38,0.012097,none,s2s.0.3.3
qf_shid_entl/10.tst.smt2,0.162507,3.24059,0.119033,0.19488,0.016678,0.296044,s2s.0.3.3
qf_shid_entl/11.tst.smt2,0.109268,3.29181,0.185133,0.155807,0.014253,0.297666,s2s.0.3.3
qf_shid_entl/12.tst.smt2,0.08331,3.24308,0.157007,0.148285,0.014061,0.305876,s2s.0.3.3
qf_shid_entl/13.tst.smt2,0.028925,2.99546,none,0.037315,0.014722,0.322568,s2s.0.3.3
qf_shid_entl/14.tst.smt2,0.030816,3.01082,none,0.036697,0.013312,0.323099,s2s.0.3.3
qf_shid_entl/15.tst.smt2,0.057898,3.47496,0.115689,5.1,0.017828,1.102,s2s.0.3.3
qf_shid_entl/16.tst.smt2,0.046012,4.05301,0.140025,1.36,0.015194,0.38975,s2s.0.3.3
qf_shid_entl/17.tst.smt2,0.12778,5.22683,0.246034,5.09,0.024905,0.525578,s2s.0.3.3
qf_shid_entl/18.tst.smt2,0.068995,3.85523,0.084212,5.06,0.01572,0.391878,s2s.0.3.3
qf_shid_entl/19.tst.smt2,0.010136,3.3819,0.082985,0.105642,0.011896,0.288423,Cyclist
qf_shid_entl/20.tst.smt2,0.040251,3.37786,0.068749,0.54,0.011863,none,s2s.0.3.3
qf_shid_entl/21.tst.smt2,0.046886,3.0372,none,0.060983,0.015674,none,s2s.0.3.3
qf_shid_entl/22.tst.smt2,0.183715,3.62617,0.072091,1.3,0.01202,none,s2s.0.3.3
qf_shid_entl/append_dll_slk-1.smt2,0.011411,3.29226,0.090219,0.95,0.014726,none,Cyclist
qf_shid_entl/append_dll_slk-10.smt2,0.055053,3.92927,0.127954,0.075468,0.015824,none,s2s.0.3.3
qf_shid_entl/append_dll_slk-11.smt2,0.011827,3.06293,0.087975,0.015503,0.015856,none,Cyclist
qf_shid_entl/append_dll_slk-12.smt2,0.018323,3.33829,0.095426,0.051429,0.015075,none,s2s.0.3.3
qf_shid_entl/append_dll_slk-2.smt2,0.011181,2.17858,0.084134,0.118029,0.014746,none,Cyclist
qf_shid_entl/append_dll_slk-3.smt2,0.010178,2.09641,0.083463,1.17,0.014045,none,Cyclist
qf_shid_entl/append_dll_slk-4.smt2,0.01068,3.34738,0.092746,0.181461,0.014635,none,Cyclist
qf_shid_entl/append_dll_slk-5.smt2,0.009975,2.16793,0.078575,0.0156,0.013778,none,Cyclist
qf_shid_entl/append_dll_slk-6.smt2,0.009841,2.14222,0.086501,0.124141,0.014979,none,Cyclist
qf_shid_entl/append_dll_slk-7.smt2,0.012673,3.64788,0.104437,0.133656,0.015178,none,Cyclist
qf_shid_entl/append_dll_slk-8.smt2,0.012404,3.42179,0.09398,1.71,0.014634,none,Cyclist
qf_shid_entl/append_dll_slk-9.smt2,0.026979,2.55493,0.158337,1.3,0.069406,none,Cyclist
qf_shid_entl/append_sll_cll_slk-1.smt2,0.009769,3.09949,0.098031,0.034591,0.014135,none,Cyclist
qf_shid_entl/append_sll_cll_slk-10.smt2,0.011305,3.13507,0.09367,0.033841,0.014322,none,Cyclist
qf_shid_entl/append_sll_cll_slk-11.smt2,0.011649,2.15055,0.090763,0.016758,0.013861,none,Cyclist
qf_shid_entl/append_sll_cll_slk-12.smt2,0.01093,2.11421,0.095069,0.039406,0.013716,none,Cyclist
qf_shid_entl/append_sll_cll_slk-13.smt2,0.009684,3.16749,0.094343,0.054383,0.014398,none,Cyclist
qf_shid_entl/append_sll_cll_slk-14.smt2,0.01148,2.21595,0.093161,0.038093,0.014186,none,Cyclist
qf_shid_entl/append_sll_cll_slk-15.smt2,none,3.02148,0.110574,0.021509,0.014187,none,s2s.0.3.3
qf_shid_entl/append_sll_cll_slk-16.smt2,0.011662,2.96249,0.095878,0.015334,0.015039,none,Cyclist
qf_shid_entl/append_sll_cll_slk-17.smt2,0.010719,3.45325,0.105845,0.045769,0.014573,none,Cyclist
qf_shid_entl/append_sll_cll_slk-18.smt2,0.016994,3.24088,0.098916,0.017362,0.015999,none,s2s.0.3.3
qf_shid_entl/append_sll_cll_slk-2.smt2,0.010564,2.10206,0.088131,0.016489,0.013636,none,Cyclist
