pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
433160138,qf_shidlia_entl/dll_len_entails_lspre_len_num-2.sb.smt2,8318718,s2s.0.3.3,22440,default,326050,complete,0.178052,0.174617,113176.0,unsat,unsat
433160139,qf_shidlia_entl/sls_join_2_unk_upper_bnd.sb.smt2,8318719,s2s.0.3.3,22440,default,326050,complete,0.090862,0.0889509,113176.0,unsat,unsat
433160140,qf_shidlia_entl/ls-entl-06.smt2,8318720,s2s.0.3.3,22440,default,326050,complete,0.103808,0.102208,113176.0,sat,sat
433160141,qf_shidlia_entl/dll-entl-07.smt2,8318721,s2s.0.3.3,22440,default,326050,complete,0.121774,0.120391,113176.0,unsat,unsat
433160142,qf_shidlia_entl/ls-entl-02.smt2,8318722,s2s.0.3.3,22440,default,326050,complete,0.121229,0.119304,113176.0,sat,sat
433160143,qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len_num-2.sb.smt2,8318723,s2s.0.3.3,22440,default,326050,complete,0.174825,0.170541,113176.0,unsat,unsat
433160144,qf_shidlia_entl/dll-entl-03.smt2,8318724,s2s.0.3.3,22440,default,326050,complete,0.228412,0.224161,113176.0,unsat,unsat
433160145,qf_shidlia_entl/ls_append_node.sb.smt2,8318725,s2s.0.3.3,22440,default,326050,complete,0.099549,0.0985329,113176.0,unsat,unsat
433160146,qf_shidlia_entl/sls_join_4_no_cond.sb.smt2,8318726,s2s.0.3.3,22440,default,326050,complete,0.16409,0.159171,113176.0,unsat,unsat
433160147,qf_shidlia_entl/dll_len_entails_ls_len_num-1.sb.smt2,8318727,s2s.0.3.3,22440,default,326050,complete,0.177461,0.174301,113176.0,unsat,unsat
433160148,qf_shidlia_entl/dll_len_append_tail_entails_dllnull_num-1.sb.smt2,8318728,s2s.0.3.3,22440,default,326050,complete,0.173944,0.170125,113176.0,unsat,unsat
433160149,qf_shidlia_entl/dll_len_entails_lsrev_len.sb.smt2,8318729,s2s.0.3.3,22440,default,326050,complete,0.168858,0.165073,113176.0,unsat,unsat
433160150,qf_shidlia_entl/dll-entl-13.smt2,8318730,s2s.0.3.3,22440,default,326050,complete,0.206051,0.199613,113176.0,sat,sat
433160151,qf_shidlia_entl/dll_len_append_tail_entails_dllnull.sb.smt2,8318731,s2s.0.3.3,22440,default,326050,complete,0.174852,0.171492,113176.0,unsat,unsat
433160152,qf_shidlia_entl/dll_len_entails_lsrev_len_num-1.sb.smt2,8318732,s2s.0.3.3,22440,default,326050,complete,0.171131,0.167739,113176.0,unsat,unsat
433160153,qf_shidlia_entl/sls_join_2_unk_lower_bnd.sb.smt2,8318733,s2s.0.3.3,22440,default,326050,complete,0.091861,0.0905221,113176.0,unsat,unsat
433160154,qf_shidlia_entl/sls_join_3.sb.smt2,8318734,s2s.0.3.3,22440,default,326050,complete,0.107124,0.105104,113176.0,unsat,unsat
433160155,qf_shidlia_entl/sls_join_2_known_bnd.sb.smt2,8318735,s2s.0.3.3,22440,default,326050,complete,0.097655,0.0954711,113176.0,unsat,unsat
433160156,qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len_num-1.sb.smt2,8318736,s2s.0.3.3,22440,default,326050,complete,0.175102,0.171401,113176.0,unsat,unsat
433160157,qf_shidlia_entl/sls_join_3_unk_upper_bnd.sb.smt2,8318737,s2s.0.3.3,22440,default,326050,complete,0.109473,0.106799,113176.0,unsat,unsat
433160158,qf_shidlia_entl/dll-entl-12.smt2,8318738,s2s.0.3.3,22440,default,326050,complete,0.118704,0.116899,113176.0,unsat,unsat
433160159,qf_shidlia_entl/sls_join_2.sb.smt2,8318739,s2s.0.3.3,22440,default,326050,complete,0.091296,0.089473,113176.0,unsat,unsat
433160160,qf_shidlia_entl/ls-entl-07.smt2,8318740,s2s.0.3.3,22440,default,326050,complete,0.187104,0.183447,113176.0,unsat,unsat
433160161,qf_shidlia_entl/dll-entl-06.smt2,8318741,s2s.0.3.3,22440,default,326050,complete,0.203117,0.197491,113176.0,sat,sat
433160162,qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len.sb.smt2,8318742,s2s.0.3.3,22440,default,326050,complete,0.174521,0.171784,113176.0,unsat,unsat
433160163,qf_shidlia_entl/ls-entl-03.smt2,8318743,s2s.0.3.3,22440,default,326050,complete,0.104069,0.102441,113176.0,unsat,unsat
433160164,qf_shidlia_entl/dll-entl-02.smt2,8318744,s2s.0.3.3,22440,default,326050,complete,0.203227,0.197418,113176.0,sat,sat
433160165,qf_shidlia_entl/sls_join_3_unk_lower_bnd.sb.smt2,8318745,s2s.0.3.3,22440,default,326050,complete,0.109544,0.107315,113176.0,unsat,unsat
433160166,qf_shidlia_entl/dll_len_entails_ls_len.sb.smt2,8318746,s2s.0.3.3,22440,default,326050,complete,0.181607,0.179363,113176.0,unsat,unsat
433160167,qf_shidlia_entl/sls_join_4_1_cond_unk_both.sb.smt2,8318747,s2s.0.3.3,22440,default,326050,complete,0.141379,0.137624,113176.0,unsat,unsat
433160168,qf_shidlia_entl/dll_len_append_tail_entails_dllnull_num-2.sb.smt2,8318748,s2s.0.3.3,22440,default,326050,complete,0.167879,0.166732,113176.0,unsat,unsat
433160169,qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len.sb.smt2,8318749,s2s.0.3.3,22440,default,326050,complete,0.174277,0.170495,113176.0,unsat,unsat
433160170,qf_shidlia_entl/dll-entl-14.smt2,8318750,s2s.0.3.3,22440,default,326050,complete,0.204979,0.198326,113176.0,sat,sat
433160171,qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len_num-3.sb.smt2,8318751,s2s.0.3.3,22440,default,326050,complete,0.171125,0.16943,113176.0,unsat,unsat
433160172,qf_shidlia_entl/dll_len_entails_lspre_len.sb.smt2,8318752,s2s.0.3.3,22440,default,326050,complete,0.183233,0.18099,113176.0,unsat,unsat
433160173,qf_shidlia_entl/sls_join_4_1_cond_unk_upper_bnd.sb.smt2,8318753,s2s.0.3.3,22440,default,326050,complete,0.155601,0.151195,113176.0,unsat,unsat
433160174,qf_shidlia_entl/dll-entl-10.smt2,8318754,s2s.0.3.3,22440,default,326050,complete,0.120451,0.118593,113176.0,unsat,unsat
433160175,qf_shidlia_entl/dll-entl-08.smt2,8318755,s2s.0.3.3,22440,default,326050,complete,0.125574,0.123317,113176.0,sat,sat
433160176,qf_shidlia_entl/dll_len_entails_lsrev_len_num-2.sb.smt2,8318756,s2s.0.3.3,22440,default,326050,complete,0.170682,0.166785,113176.0,unsat,unsat
433160177,qf_shidlia_entl/sls_join_3_2_cond.sb.smt2,8318757,s2s.0.3.3,22440,default,326050,complete,0.10654,0.104005,113176.0,unsat,unsat
433160178,qf_shidlia_entl/sls_join_4_1_cond_unk_lower_bnd.sb.smt2,8318758,s2s.0.3.3,22440,default,326050,complete,0.155497,0.151054,113176.0,unsat,unsat
433160179,qf_shidlia_entl/dll-entl-04.smt2,8318759,s2s.0.3.3,22440,default,326050,complete,0.222333,0.218621,113176.0,unsat,unsat
433160180,qf_shidlia_entl/ls-entl-05.smt2,8318760,s2s.0.3.3,22440,default,326050,complete,0.1021,0.100582,113176.0,unsat,unsat
433160181,qf_shidlia_entl/dll_len_entails_lspre_len_num-1.sb.smt2,8318761,s2s.0.3.3,22440,default,326050,complete,0.186536,0.182924,113176.0,unsat,unsat
433160182,qf_shidlia_entl/ls-entl-01.smt2,8318762,s2s.0.3.3,22440,default,326050,complete,0.012403,0.0124231,113176.0,unsat,unsat
433160183,qf_shidlia_entl/dll_len_entails_ls_len_num-2.sb.smt2,8318763,s2s.0.3.3,22440,default,326050,complete,0.184402,0.18082,113176.0,unsat,unsat
433160184,qf_shidlia_entl/sls_join_4_3_cond.sb.smt2,8318764,s2s.0.3.3,22440,default,326050,complete,0.133695,0.130251,113176.0,unsat,unsat
