pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
433160438,qf_shidlia_sat/btree-01.smt2,8318797,Songbird v2,20617,songbird.sh,304292,complete,232.17,232.167,559972.0,starexec-unknown,sat
433160423,qf_shidlia_sat/btree-02.smt2,8318782,Songbird v2,20617,songbird.sh,304292,complete,0.012339,0.034823,113176.0,unsat,unsat
433160428,qf_shidlia_sat/btree-03.smt2,8318787,Songbird v2,20617,songbird.sh,304292,timeout (cpu),2400.06,2400.04,560180.0,starexec-unknown,sat
433160451,qf_shidlia_sat/dll-sat-01.smt2,8318810,Songbird v2,20617,songbird.sh,304292,complete,0.013872,0.038204,113176.0,sat,sat
433160431,qf_shidlia_sat/dll-sat-02.smt2,8318790,Songbird v2,20617,songbird.sh,304292,complete,10.5,10.5942,224984.0,unsat,unsat
433160426,qf_shidlia_sat/dll-sat-03.smt2,8318785,Songbird v2,20617,songbird.sh,304292,complete,264.01,264.088,253848.0,starexec-unknown,unsat
433160439,qf_shidlia_sat/dll-sat-04.smt2,8318798,Songbird v2,20617,songbird.sh,304292,complete,0.015595,0.040661,113176.0,sat,sat
433160450,qf_shidlia_sat/dll-sat-05.smt2,8318809,Songbird v2,20617,songbird.sh,304292,complete,192.46,192.564,233976.0,starexec-unknown,unsat
433160430,qf_shidlia_sat/dll-sat-06.smt2,8318789,Songbird v2,20617,songbird.sh,304292,complete,0.0338,0.0663351,113176.0,sat,sat
433160425,qf_shidlia_sat/dll-sat-07.smt2,8318784,Songbird v2,20617,songbird.sh,304292,complete,220.77,220.883,316872.0,starexec-unknown,unsat
433160443,qf_shidlia_sat/dll-sat-08.smt2,8318802,Songbird v2,20617,songbird.sh,304292,complete,225.8,225.848,316872.0,starexec-unknown,unsat
433160446,qf_shidlia_sat/dll-sat-09.smt2,8318805,Songbird v2,20617,songbird.sh,304292,complete,0.185835,0.218476,113176.0,sat,sat
433160444,qf_shidlia_sat/dll-sat-10.smt2,8318803,Songbird v2,20617,songbird.sh,304292,complete,182.16,182.179,622392.0,starexec-unknown,unsat
433160447,qf_shidlia_sat/dll-sat-11.smt2,8318806,Songbird v2,20617,songbird.sh,304292,complete,0.272074,0.312447,113176.0,sat,sat
433160435,qf_shidlia_sat/dll-sat-12.smt2,8318794,Songbird v2,20617,songbird.sh,304292,complete,0.147016,0.178031,113176.0,sat,sat
433160422,qf_shidlia_sat/dll-sat-13.smt2,8318781,Songbird v2,20617,songbird.sh,304292,complete,0.154487,0.185775,113176.0,sat,sat
433160429,qf_shidlia_sat/els-01.smt2,8318788,Songbird v2,20617,songbird.sh,304292,timeout (wallclock),2399.87,2400.02,206228.0,starexec-unknown,sat
433160449,qf_shidlia_sat/els-02.smt2,8318808,Songbird v2,20617,songbird.sh,304292,timeout (wallclock),2399.95,2400.03,206228.0,starexec-unknown,unsat
433160437,qf_shidlia_sat/els-03.smt2,8318796,Songbird v2,20617,songbird.sh,304292,complete,181.1,181.168,687220.0,starexec-unknown,unsat
433160427,qf_shidlia_sat/els-04.smt2,8318786,Songbird v2,20617,songbird.sh,304292,complete,194.51,194.53,397876.0,starexec-unknown,unsat
433160448,qf_shidlia_sat/ls-08.smt2,8318807,Songbird v2,20617,songbird.sh,304292,complete,187.09,187.191,217788.0,starexec-unknown,sat
433160436,qf_shidlia_sat/ls-09.smt2,8318795,Songbird v2,20617,songbird.sh,304292,complete,0.011541,0.032524,113176.0,unsat,unsat
433160441,qf_shidlia_sat/ls-sat-01.smt2,8318800,Songbird v2,20617,songbird.sh,304292,complete,0.013574,0.036949,113176.0,sat,sat
433160420,qf_shidlia_sat/ls-sat-02.smt2,8318779,Songbird v2,20617,songbird.sh,304292,complete,0.013064,0.0357359,113176.0,unsat,unsat
433160433,qf_shidlia_sat/ls-sat-03.smt2,8318792,Songbird v2,20617,songbird.sh,304292,complete,0.024896,0.052906,113176.0,sat,sat
433160445,qf_shidlia_sat/ls-sat-04.smt2,8318804,Songbird v2,20617,songbird.sh,304292,complete,0.012635,0.035402,113176.0,unsat,unsat
433160442,qf_shidlia_sat/ls-sat-05.smt2,8318801,Songbird v2,20617,songbird.sh,304292,complete,0.015303,0.0426661,113176.0,unsat,unsat
433160421,qf_shidlia_sat/ls-sat-06.smt2,8318780,Songbird v2,20617,songbird.sh,304292,complete,0.033122,0.0652639,113176.0,sat,sat
433160434,qf_shidlia_sat/ls-sat-07.smt2,8318793,Songbird v2,20617,songbird.sh,304292,complete,0.013569,0.0383959,113176.0,unsat,unsat
433160432,qf_shidlia_sat/lss-01.smt2,8318791,Songbird v2,20617,songbird.sh,304292,complete,558.05,558.187,201236.0,starexec-unknown,sat
433160452,qf_shidlia_sat/lss-02.smt2,8318811,Songbird v2,20617,songbird.sh,304292,complete,0.013464,0.394333,113176.0,unsat,unsat
433160440,qf_shidlia_sat/lss-03.smt2,8318799,Songbird v2,20617,songbird.sh,304292,complete,188.44,188.488,512304.0,starexec-unknown,unsat
433160424,qf_shidlia_sat/lss-04.smt2,8318783,Songbird v2,20617,songbird.sh,304292,complete,589.38,589.466,234860.0,starexec-unknown,unsat
