benchmark,COMSPEN2019-22337,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,VBS
qf_shidlia_sat/btree-01.smt2,none,0.063497,none,0.113448,SLEEK
qf_shidlia_sat/btree-02.smt2,none,none,0.012339,0.111232,Songbird
qf_shidlia_sat/btree-03.smt2,none,0.061527,none,0.112715,SLEEK
qf_shidlia_sat/dll-sat-01.smt2,0.028197,0.066198,0.013872,0.11713,Songbird
qf_shidlia_sat/dll-sat-02.smt2,0.028022,none,10.5,0.115876,COMSPEN2019
qf_shidlia_sat/dll-sat-03.smt2,0.028026,none,none,0.115684,COMSPEN2019
qf_shidlia_sat/dll-sat-04.smt2,0.029181,0.068522,0.015595,0.117333,Songbird
qf_shidlia_sat/dll-sat-05.smt2,0.029925,none,none,0.118598,COMSPEN2019
qf_shidlia_sat/dll-sat-06.smt2,0.039067,0.080277,0.0338,0.21367,Songbird
qf_shidlia_sat/dll-sat-07.smt2,0.050469,none,none,0.710347,COMSPEN2019
qf_shidlia_sat/dll-sat-08.smt2,0.050407,none,none,0.711157,COMSPEN2019
qf_shidlia_sat/dll-sat-09.smt2,0.053732,3.04165,0.185835,0.644209,COMSPEN2019
qf_shidlia_sat/dll-sat-10.smt2,0.057909,none,none,2.01361,COMSPEN2019
qf_shidlia_sat/dll-sat-11.smt2,0.057323,3.44229,0.272074,1.87379,COMSPEN2019
qf_shidlia_sat/dll-sat-12.smt2,0.050358,2.01594,0.147016,0.619306,COMSPEN2019
qf_shidlia_sat/dll-sat-13.smt2,0.051134,2.39977,0.154487,0.606263,COMSPEN2019
qf_shidlia_sat/els-01.smt2,none,0.059876,none,0.083343,SLEEK
qf_shidlia_sat/els-02.smt2,none,none,none,0.084206,s2s.0.3.3
qf_shidlia_sat/els-03.smt2,none,none,none,0.085496,s2s.0.3.3
qf_shidlia_sat/els-04.smt2,none,none,none,0.082655,s2s.0.3.3
qf_shidlia_sat/ls-08.smt2,none,0.060153,none,0.088254,SLEEK
qf_shidlia_sat/ls-09.smt2,none,none,0.011541,0.092316,Songbird
qf_shidlia_sat/ls-sat-01.smt2,0.025581,0.063264,0.013574,0.097496,Songbird
qf_shidlia_sat/ls-sat-02.smt2,0.025844,0.061832,0.013064,0.099866,Songbird
qf_shidlia_sat/ls-sat-03.smt2,0.030238,0.068289,0.024896,0.100732,Songbird
qf_shidlia_sat/ls-sat-04.smt2,0.028216,0.062403,0.012635,0.099559,Songbird
qf_shidlia_sat/ls-sat-05.smt2,0.032047,0.068178,0.015303,0.172811,Songbird
qf_shidlia_sat/ls-sat-06.smt2,0.032793,0.075978,0.033122,0.172571,COMSPEN2019
qf_shidlia_sat/ls-sat-07.smt2,0.028366,none,0.013569,0.175002,Songbird
qf_shidlia_sat/lss-01.smt2,none,0.062455,none,0.10818,SLEEK
qf_shidlia_sat/lss-02.smt2,none,0.060538,0.013464,0.105844,Songbird
qf_shidlia_sat/lss-03.smt2,none,none,none,0.110945,s2s.0.3.3
qf_shidlia_sat/lss-04.smt2,none,none,none,0.106734,s2s.0.3.3
Total,11,5,12,5,ALL
