benchmark,COMSPEN2019-22337,Cyclist-SL,Harrsh-22687,SLEEK-20564,SPEN19.2-22729,Songbird-20617,s2s.0.3.3-22440,slide-2018,VBS
qf_shlid_entl/dll-vc01.smt2,none,0.012105,3.29548,0.117743,none,0.025491,0.013021,0.290618,Cyclist
qf_shlid_entl/dll-vc02.smt2,none,0.012085,3.28037,0.119441,none,0.025397,0.012419,0.291517,Cyclist
qf_shlid_entl/dll-vc03.smt2,none,0.016234,3.93947,0.133654,none,0.032509,0.012306,0.291145,s2s.0.3.3
qf_shlid_entl/dll-vc04.smt2,none,none,4.01383,0.152998,none,0.016316,0.013708,none,s2s.0.3.3
qf_shlid_entl/dll-vc05.smt2,none,1.02211,3.80969,none,0.026604,19.18,0.012486,none,s2s.0.3.3
qf_shlid_entl/dll-vc06.smt2,none,none,4.76962,0.220367,none,0.030488,0.013076,none,s2s.0.3.3
qf_shlid_entl/dll-vc07.smt2,none,0.086598,4.05225,none,none,4.57,0.013489,none,s2s.0.3.3
qf_shlid_entl/dll-vc08.smt2,none,none,6.87602,0.314484,none,0.032741,0.012903,none,s2s.0.3.3
qf_shlid_entl/dll-vc09.smt2,none,0.077551,9.6199,0.1795,none,0.057404,0.01301,none,s2s.0.3.3
qf_shlid_entl/dll-vc10.smt2,none,none,7.57229,0.324214,0.033548,0.029072,0.013413,none,s2s.0.3.3
qf_shlid_entl/dll-vc11.smt2,none,69.118,3.84122,none,0.026341,none,0.012476,none,s2s.0.3.3
qf_shlid_entl/dll-vc12.smt2,none,none,4.63223,0.231126,none,0.026927,0.013407,none,s2s.0.3.3
qf_shlid_entl/dll-vc13.smt2,none,none,4.74322,0.157738,none,0.01796,0.013524,none,s2s.0.3.3
qf_shlid_entl/dll-vc14.smt2,none,none,2.9986,0.16051,0.034312,0.017843,0.012218,none,s2s.0.3.3
qf_shlid_entl/dll-vc15.smt2,none,0.010745,3.01997,0.109375,none,0.019727,0.012377,0.290253,Cyclist
qf_shlid_entl/dll-vc16.smt2,none,none,26.4878,0.786036,none,0.035229,0.014293,none,s2s.0.3.3
qf_shlid_entl/dll-vc17.smt2,none,0.4027,4.41024,none,none,none,0.012817,none,s2s.0.3.3
qf_shlid_entl/lss-vc01.smt2,none,0.010186,2.9231,0.075029,none,0.014486,0.012607,0.304199,Cyclist
qf_shlid_entl/lss-vc02.smt2,none,0.014362,3.92923,0.117136,none,0.020981,0.011878,0.308248,s2s.0.3.3
qf_shlid_entl/lss-vc03.smt2,none,0.042718,4.21089,0.136318,none,0.113217,0.012066,0.559373,s2s.0.3.3
qf_shlid_entl/nll-vc01.smt2,none,410.128,18.967,0.97544,0.034543,0.07102,0.013331,none,s2s.0.3.3
qf_shlid_entl/nll-vc02.smt2,none,408.587,17.934,0.987807,0.034866,0.070648,0.013562,none,s2s.0.3.3
qf_shlid_entl/nll-vc03.smt2,none,none,37.1442,1.08422,0.035218,0.69,0.01359,none,s2s.0.3.3
qf_shlid_entl/nll-vc04.smt2,none,none,105.352,1.62734,0.036568,5.21,0.014821,none,s2s.0.3.3
qf_shlid_entl/nll-vc05.smt2,none,0.528598,17.3464,1.12041,0.034041,5.1,0.012867,none,s2s.0.3.3
qf_shlid_entl/nll-vc06.smt2,none,none,18.8774,none,0.035474,0.024738,0.012884,none,s2s.0.3.3
qf_shlid_entl/nll-vc07.smt2,none,0.038465,16.7229,1.15101,0.036281,7.38,0.012633,none,s2s.0.3.3
qf_shlid_entl/nll-vc08.smt2,none,13.1294,29.5616,1.88899,0.035141,13.92,0.012832,none,s2s.0.3.3
qf_shlid_entl/nll-vc09.smt2,none,0.053961,18.7974,1.238,0.035611,6.17,0.013115,none,s2s.0.3.3
qf_shlid_entl/nll-vc10.smt2,none,2.59265,22.8624,1.57977,0.034298,6.94,0.012738,none,s2s.0.3.3
qf_shlid_entl/nll-vc11.smt2,none,0.029524,17.1982,1.28829,0.034289,5.12,0.01254,none,s2s.0.3.3
qf_shlid_entl/nll-vc12.smt2,none,0.028427,4.00442,0.990876,0.03511,3.44,0.01266,none,s2s.0.3.3
qf_shlid_entl/nll-vc13.smt2,none,none,3.95043,1.07709,0.034286,0.02132,0.012729,none,s2s.0.3.3
qf_shlid_entl/nll-vc14.smt2,none,none,4.46684,1.28785,0.034138,0.040099,0.012785,none,s2s.0.3.3
qf_shlid_entl/nll-vc15.smt2,none,none,17.3907,1.07797,0.036786,0.020542,0.014316,none,s2s.0.3.3
qf_shlid_entl/nll-vc16.smt2,none,none,18.9989,1.22157,0.03547,0.024263,0.013251,none,s2s.0.3.3
qf_shlid_entl/nll-vc17.smt2,none,none,55.1282,3.35833,0.038078,none,0.014093,none,s2s.0.3.3
qf_shlid_entl/nll-vc18.smt2,none,none,37.224,3.55585,0.037695,0.056744,0.014646,none,s2s.0.3.3
qf_shlid_entl/nll-vc19.smt2,none,none,77.85,4.88289,0.036993,0.069288,0.013852,none,s2s.0.3.3
qf_shlid_entl/skl2-vc01.smt2,none,0.015887,3.0395,0.986614,none,0.022582,0.01327,none,s2s.0.3.3
qf_shlid_entl/skl2-vc02.smt2,none,0.053644,3.50654,0.994602,none,0.027497,0.012738,none,s2s.0.3.3
qf_shlid_entl/skl2-vc03.smt2,none,none,none,none,none,6.04,0.019922,none,s2s.0.3.3
qf_shlid_entl/skl2-vc04.smt2,none,0.10358,5.48307,2.03795,none,0.189224,0.013367,none,s2s.0.3.3
qf_shlid_entl/skl2-vc05.smt2,none,none,none,2.72234,none,none,0.01374,none,s2s.0.3.3
qf_shlid_entl/skl2-vc06.smt2,none,none,115.019,4.46875,none,0.058085,0.013425,none,s2s.0.3.3
qf_shlid_entl/skl2-vc07.smt2,none,none,none,none,none,0.069423,0.013439,none,s2s.0.3.3
qf_shlid_entl/skl3-vc01.smt2,none,0.238852,3.19581,4.92022,none,0.038247,0.014186,none,s2s.0.3.3
qf_shlid_entl/skl3-vc02.smt2,none,none,320.635,81.8679,0.035229,none,0.013011,none,s2s.0.3.3
qf_shlid_entl/skl3-vc03.smt2,none,0.071364,363.691,1150.57,none,6.47,0.013199,none,s2s.0.3.3
qf_shlid_entl/skl3-vc04.smt2,none,none,none,none,none,none,0.017379,none,s2s.0.3.3
qf_shlid_entl/skl3-vc05.smt2,none,none,none,none,none,none,0.016238,none,s2s.0.3.3
qf_shlid_entl/skl3-vc06.smt2,none,none,none,none,none,none,0.014592,none,s2s.0.3.3
qf_shlid_entl/skl3-vc07.smt2,none,none,none,none,none,5.58,0.01701,none,s2s.0.3.3
qf_shlid_entl/skl3-vc08.smt2,none,none,none,none,none,5.65,0.015494,none,s2s.0.3.3
qf_shlid_entl/skl3-vc09.smt2,none,none,none,none,none,5.57346,0.014105,none,s2s.0.3.3
qf_shlid_entl/skl3-vc10.smt2,none,none,438.455,5.24247,none,5.31,0.014254,none,s2s.0.3.3
qf_shlid_entl/skl3-vc11.smt2,none,none,none,none,none,none,0.01725,none,s2s.0.3.3
qf_shlid_entl/skl3-vc12.smt2,none,none,none,none,0.122526,0.389805,0.017517,none,s2s.0.3.3
qf_shlid_entl/sll-vc01.smt2,20.0826,none,none,0.076527,0.190749,none,0.060839,none,s2s.0.3.3
qf_shlid_entl/sll-vc02.smt2,17.6309,none,none,0.07575,0.172391,1.85,0.043495,none,s2s.0.3.3
Total,0,4,0,0,0,0,56,0,ALL
