pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected
433165910,qf_shls_entl/bolognesa-10-e01.tptp.smt2,8317378,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.28226,3.28264,161072.0,sat,sat
433165901,qf_shls_entl/bolognesa-10-e02.tptp.smt2,8317369,COMSPEN2019,22337,qf_shls_sat,325903,complete,2.98479,2.98489,160988.0,unsat,unsat
433165891,qf_shls_entl/bolognesa-10-e03.tptp.smt2,8317359,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.47783,3.47805,161068.0,unsat,unsat
433165873,qf_shls_entl/bolognesa-10-e04.tptp.smt2,8317341,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.56881,3.56886,161160.0,sat,sat
433165868,qf_shls_entl/bolognesa-10-e05.tptp.smt2,8317336,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.22568,3.22589,161160.0,sat,sat
433165859,qf_shls_entl/bolognesa-10-e06.tptp.smt2,8317327,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.01073,3.01103,161140.0,sat,sat
433165848,qf_shls_entl/bolognesa-10-e07.tptp.smt2,8317316,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.00499,3.00548,161044.0,sat,sat
433165969,qf_shls_entl/bolognesa-10-e08.tptp.smt2,8317437,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.1545,3.15465,161044.0,sat,sat
433165977,qf_shls_entl/bolognesa-10-e09.tptp.smt2,8317445,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.57332,3.57356,161072.0,sat,sat
433165794,qf_shls_entl/bolognesa-10-e10.tptp.smt2,8317262,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.49995,3.5002,161080.0,unsat,unsat
433165783,qf_shls_entl/bolognesa-11-e01.tptp.smt2,8317251,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.91783,3.92027,161196.0,unsat,unsat
433165813,qf_shls_entl/bolognesa-11-e02.tptp.smt2,8317281,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.77708,3.7774,161196.0,unsat,unsat
433165802,qf_shls_entl/bolognesa-11-e03.tptp.smt2,8317270,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.39658,4.39731,161228.0,unsat,unsat
433165821,qf_shls_entl/bolognesa-11-e04.tptp.smt2,8317289,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.01946,4.01975,161204.0,unsat,unsat
433165816,qf_shls_entl/bolognesa-11-e05.tptp.smt2,8317284,COMSPEN2019,22337,qf_shls_sat,325903,complete,7.59168,3.81237,161080.0,sat,sat
433165841,qf_shls_entl/bolognesa-11-e06.tptp.smt2,8317309,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.16287,4.16566,161196.0,sat,sat
433165830,qf_shls_entl/bolognesa-11-e07.tptp.smt2,8317298,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.94175,3.94321,161184.0,unsat,unsat
433165691,qf_shls_entl/bolognesa-11-e08.tptp.smt2,8317159,COMSPEN2019,22337,qf_shls_sat,325903,complete,3.66062,3.66079,161184.0,unsat,unsat
433165701,qf_shls_entl/bolognesa-11-e09.tptp.smt2,8317169,COMSPEN2019,22337,qf_shls_sat,325903,complete,7.65087,3.87107,161172.0,unsat,unsat
433165883,qf_shls_entl/bolognesa-11-e10.tptp.smt2,8317351,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.01996,4.02014,161080.0,sat,sat
433165925,qf_shls_entl/bolognesa-12-e01.tptp.smt2,8317393,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.60748,4.60758,161208.0,unsat,unsat
433165947,qf_shls_entl/bolognesa-12-e02.tptp.smt2,8317415,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.82002,4.81992,161204.0,sat,sat
433165939,qf_shls_entl/bolognesa-12-e03.tptp.smt2,8317407,COMSPEN2019,22337,qf_shls_sat,325903,complete,5.21906,5.21986,161264.0,sat,sat
433165958,qf_shls_entl/bolognesa-12-e04.tptp.smt2,8317426,COMSPEN2019,22337,qf_shls_sat,325903,complete,5.1214,5.12165,161200.0,sat,sat
433165949,qf_shls_entl/bolognesa-12-e05.tptp.smt2,8317417,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.53215,4.5324,161176.0,unsat,unsat
433165980,qf_shls_entl/bolognesa-12-e06.tptp.smt2,8317448,COMSPEN2019,22337,qf_shls_sat,325903,complete,4.04609,4.0462,161180.0,unsat,unsat
