benchmark,ASTERIX-20618,COMSPEN2019-22337,Harrsh-22687,SLEEK-20564,SLSAT-22694,SPEN19.2-22729,SPEN19.3-22723,Songbird-20617,s2s.0.3.3-22440,VBS
qf_shls_sat/spaguetti-10-e01.tptp.smt2,0.012013,0.041841,2.32604,0.079591,0.035992,0.020257,0.019334,0.018896,0.012347,ASTERIX
qf_shls_sat/spaguetti-10-e02.tptp.smt2,0.012364,0.040261,2.30914,0.076528,0.015197,0.033523,0.032242,0.08095,0.012708,ASTERIX
qf_shls_sat/spaguetti-10-e03.tptp.smt2,0.012506,0.045019,2.60747,0.080873,0.057733,0.021927,0.021016,0.02137,0.013222,ASTERIX
qf_shls_sat/spaguetti-10-e04.tptp.smt2,0.012102,0.050172,2.52859,0.087053,0.24212,0.021099,0.021231,0.027756,0.013001,ASTERIX
qf_shls_sat/spaguetti-10-e05.tptp.smt2,0.012746,0.043269,2.36706,0.081893,0.014289,0.034087,0.034812,0.100194,0.013485,ASTERIX
qf_shls_sat/spaguetti-10-e06.tptp.smt2,0.011824,0.032523,2.02207,0.072949,0.013369,0.027388,0.028662,0.021195,0.011866,ASTERIX
qf_shls_sat/spaguetti-10-e07.tptp.smt2,0.012333,0.041866,2.22599,0.075906,0.02026,0.031202,0.029734,0.132173,0.012762,ASTERIX
qf_shls_sat/spaguetti-10-e08.tptp.smt2,0.012175,0.047856,2.45632,0.083144,0.120503,0.019436,0.020769,0.026498,0.013666,ASTERIX
qf_shls_sat/spaguetti-10-e09.tptp.smt2,0.012895,0.039615,2.38275,0.080487,0.025186,0.016582,0.016518,0.016284,0.012274,s2s.0.3.3
qf_shls_sat/spaguetti-10-e10.tptp.smt2,0.012084,0.036223,2.11941,0.076565,0.016472,0.031323,0.032467,0.04056,0.012713,ASTERIX
qf_shls_sat/spaguetti-11-e01.tptp.smt2,0.012002,0.044426,2.44914,0.080298,0.054146,0.020238,0.019357,0.021714,0.0137,ASTERIX
qf_shls_sat/spaguetti-11-e02.tptp.smt2,0.011857,0.035267,2.1319,0.072756,0.013377,0.03223,0.031017,0.030647,0.012062,ASTERIX
qf_shls_sat/spaguetti-11-e03.tptp.smt2,0.012424,0.036006,2.26914,0.073415,0.01314,0.034131,0.034686,0.050127,0.012661,ASTERIX
qf_shls_sat/spaguetti-11-e04.tptp.smt2,0.013076,0.063789,6.3898,0.092236,5.8058,0.038378,0.037913,0.047097,0.019042,ASTERIX
qf_shls_sat/spaguetti-11-e05.tptp.smt2,0.012155,0.040392,2.33563,0.080193,0.013668,0.036882,0.035811,0.071602,0.012023,s2s.0.3.3
