benchmark,Cyclist-SL,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,slide-2018,VBS
shid_entl/dll-entails-node-dll-rev.smt2,none,0.076904,0.01588,0.027125,0.337109,Songbird
shid_entl/dll-entails-node-node-dll.smt2,none,0.105754,0.015503,0.014535,0.315733,s2s.0.3.3
shid_entl/dll-spaghetti-existential.smt2,none,none,none,1.31036,2.24553,s2s.0.3.3
shid_entl/dll2-spaghetti-existential.smt2,none,none,35.15,1.28087,3.42751,s2s.0.3.3
shid_entl/dllnull_entails_dll.sb.smt2,0.022649,0.088867,0.041486,0.014725,0.316871,s2s.0.3.3
shid_entl/dllnull_entails_dllrev.sb.smt2,1.42647,none,0.07224,0.015147,0.312843,s2s.0.3.3
shid_entl/dll_concat_dllrev_get_last.sb.smt2,1.06597,none,1.09,0.03001,none,s2s.0.3.3
shid_entl/dll_entails_ls_node.sb.smt2,0.022958,none,0.047447,0.015035,none,s2s.0.3.3
shid_entl/dll_entails_node_lsrev.sb.smt2,0.094758,none,0.088311,0.014713,none,s2s.0.3.3
shid_entl/eolseg_03.sb.smt2,0.636516,none,3.3,0.018136,none,s2s.0.3.3
shid_entl/eolseg_04.sb.smt2,0.629022,none,2.11,0.018252,none,s2s.0.3.3
shid_entl/eolseg_08.sb.smt2,3.03122,none,0.78,0.046486,none,s2s.0.3.3
shid_entl/eolseg_10.sb.smt2,15.9334,none,47.51,0.023031,none,s2s.0.3.3
shid_entl/eolseg_11.sb.smt2,0.629223,none,2.54,0.017544,none,s2s.0.3.3
shid_entl/eolseg_13.sb.smt2,1.55028,none,0.7,0.02529,none,s2s.0.3.3
shid_entl/eolseg_14.sb.smt2,0.255888,0.292174,0.268687,0.015989,none,s2s.0.3.3
shid_entl/eolseg_16.sb.smt2,21.115,none,1.09,0.043539,none,s2s.0.3.3
shid_entl/ls2_entail_ls_02.sb.smt2,0.234475,none,5.46,0.014746,none,s2s.0.3.3
shid_entl/ls2_entail_ls_03.sb.smt2,0.94655,none,5.24,0.015838,none,s2s.0.3.3
shid_entl/ls2_entail_ls_05.sb.smt2,0.400669,none,5.75,0.014497,none,s2s.0.3.3
shid_entl/ls2_entail_ls_06.sb.smt2,1.33804,none,5.34,0.018428,none,s2s.0.3.3
shid_entl/lsevenodd_05.sb.smt2,1.2592,none,0.99,0.015655,none,s2s.0.3.3
shid_entl/lsevenodd_06.sb.smt2,1.6167,none,0.98,0.018245,none,s2s.0.3.3
shid_entl/lsevenodd_07.sb.smt2,1.5273,none,0.91,0.017644,none,s2s.0.3.3
shid_entl/lsevenodd_08.sb.smt2,2.13649,none,0.96,0.016402,none,s2s.0.3.3
shid_entl/lsevenodd_10.sb.smt2,10.6026,none,0.36895,0.017702,none,s2s.0.3.3
shid_entl/lsevenodd_12.sb.smt2,0.847167,none,0.54,0.017989,none,s2s.0.3.3
shid_entl/lsevenodd_13.sb.smt2,1.84537,none,0.5,0.019051,none,s2s.0.3.3
shid_entl/lsevenodd_17.sb.smt2,2.09919,none,0.82,0.015615,none,s2s.0.3.3
shid_entl/lsevenodd_18.sb.smt2,4.11823,none,0.85,0.015196,none,s2s.0.3.3
shid_entl/lsevenodd_19.sb.smt2,1.63539,none,0.78,0.015258,none,s2s.0.3.3
